DATE	A01	A02	A03	A04
220204	0/30	0/30	0/30	0/30
220213	1/30	0/30	2/30	2/30
220214	3/30	1/30	3/30	2/30
220215	5/30	4/30	7/30	11/30
220216	6/30	4/30	11/30	17/30
220216	6/30	5/30	11/30	18/30
220217	6/30	4/30	11/30	19/30
220218	6/30	4/30	10/30	19/30
220221	6/30	4/30	11/30	19/30
220221	6/30	5/30	14/30	22/30
220222	6/30	6/30	14/30	22/30
220223	13/30	13/30	20/30	30/30 WL1
220224	16/30	21/30	26/30	30/30 WL1
220225	19/30	27/30	29/30	30/30 WL1
220226	17/30	29/30	30/30	30/30 WL1
220301	20/30	30/30	29/30	30/30 WL1
220302	20/30	28/30	30/30	30/30 WL1
220303	22/30	30/30	30/30	30/30 WL2
220304	23/30	30/30	30/30	30/30 WL2
220305	24/30	30/30	30/30	30/30 WL1
220306	25/30	30/30	30/30	30/30 WL1
220309	25/30	30/30	29/30	30/30 WL1
220310	25/30	30/30	30/30	30/30 WL1
220311	24/30	30/30	30/30	30/30 WL1
220312	24/30	30/30	29/30	30/30 WL1
220314	26/30	29/30	29/30	29/30 WL1
