DATE	A01	A02
220204	0/32	0/32
220213	2/32	0/32
220215	4/32	3/32
220216	4/32	4/32
220216	10/32	3/32
220217	11/32	3/32
220218	30/32	7/32
220219	28/32	7/32
220221	31/32	8/32
220222	31/32	9/32
220223	32/32	13/32
220224	32/32 WL2	14/32
220225	31/32 WL4	31/32
220226	32/32 WL7	32/32 WL4
220227	32/32 WL7	32/32 WL5
220301	32/32 WL7	31/32 WL6
220302	32/32 WL7	32/32 WL5
220308	32/32 WL7	31/32 WL5
220309	32/32 WL7	32/32 WL4
220316	32/32 WL6	32/32 WL5
220321	32/32 WL5	32/32 WL5
220324	32/32 WL4	32/32 WL5
220328	32/32 WL5	32/32 WL5
220328	32/32 WL6	32/32 WL6
220330	31/32 WL6	31/32 WL4
220331	32/32 WL5	31/32 WL4
220404	32/32 WL2	32/32 WL1
220407	33/34	33/33
220408	34/34	33/33
220417	34/34	32/33
220625	8/26	17/26
