DATE	A00	B00	C00	D00	E00	F00
220204	0/45	0/15	0/30	0/30	0/30	0/12
220212	10/45	4/15	5/30	1/30	1/30	2/12
220213	17/45	7/15	10/30	5/30	2/30	10/12
220214	18/45	10/15	11/30	6/30	2/30	11/12
220215	21/45	11/15	12/30	7/30	3/30	12/12
220216	21/45	12/15	13/30	7/30	5/30	12/12
220216	20/45	12/15	13/30	8/30	5/30	12/12
220217	21/45	12/15	13/30	8/30	5/30	12/12
220218	21/45	13/15	14/30	8/30	6/30	12/12
220219	21/45	13/15	15/30	8/30	6/30	12/12
220221	22/45	13/15	15/30	8/30	6/30	12/12 WL3
220221	22/45	13/15	14/30	8/30	6/30	12/12 WL6
220222	25/45	13/15	14/30	8/30	7/30	12/12 WL6
220223	26/45	13/15	16/30	10/30	9/30	14/14 WL8
220224	25/45	13/15	16/30	10/30	9/30	14/14 WL8
220225	25/45	13/15	17/30	10/30	9/30	14/14 WL9
220226	26/45	13/15	17/30	10/30	9/30	14/14 WL10
220301	30/45	13/15	18/30	10/30	10/30	14/14 WL11
220302	29/45	14/15	18/30	11/30	10/30	14/14 WL10
220303	28/45	14/15	18/30	11/30	10/30	14/14 WL10
220304	29/45	14/15	18/30	11/30	10/30	14/14 WL10
220305	30/45	14/15	18/30	10/30	10/30	14/14 WL10
220306	30/45	15/15	18/30	10/30	9/30	14/14 WL10
220307	31/45	15/15	18/30	10/30	9/30	14/14 WL10
220308	34/45	15/15 WL2	18/30	10/30	9/30	15/14 WL10
220309	34/45	15/15 WL3	18/30	10/30	8/30	15/14 WL10
220310	35/45	15/15 WL5	17/30	10/30	8/30	15/14 WL10
220314	34/45	15/15 WL5	18/30	11/30	8/30	15/14 WL10
220316	34/45	15/20 WL5	18/30	10/30	8/30	15/14 WL9
220317	35/45	20/20	19/30	10/30	8/30	15/14 WL11
220321	36/45	20/20	20/30	10/30	8/30	15/14 WL11
