DATE	A00	B00
220204	0/50	0/50
220213	2/50	2/50
220214	3/50	2/50
220215	23/50	13/50
220216	33/50	25/50
220216	38/50	29/50
220217	39/50	29/50
220218	40/50	29/50
220221	41/50	28/50
220221	43/50	29/50
220222	45/50	30/50
220223	49/50 WL6	50/50 WL5
220224	50/50 WL12	50/50 WL13
220225	50/50 WL15	50/50 WL15
220226	50/50 WL15	50/50 WL16
220301	50/50 WL14	50/50 WL16
220305	50/50 WL14	50/50 WL15
220308	50/50 WL13	50/50 WL16
220309	50/50 WL14	50/50 WL16
220311	50/50 WL13	50/50 WL15
220312	50/50 WL12	49/50 WL15
220314	50/50 WL11	50/50 WL13
220316	50/50 WL11	50/50 WL12
220321	50/50 WL10	50/50 WL13
220328	50/50 WL8	50/50 WL13
220328	50/50 WL11	50/50 WL13
220330	48/50 WL9	50/50 WL10
220331	50/50 WL6	50/50 WL9
220404	50/50 WL4	50/50 WL10
220405	50/50 WL5	50/50 WL10
