DATE	A01	A02	A03
220204	0/25	0/25	N/A
220213	3/25	1/25	N/A
220214	4/25	1/25	N/A
220215	5/25	4/25	N/A
220216	20/25	10/25	N/A
220216	24/25	25/25	N/A
220217	25/25	25/25	N/A
220223	28/28 WL1	28/28 WL2	N/A
220224	28/28 WL4	28/28 WL5	N/A
220225	28/28 WL11	28/28 WL11	N/A
220226	28/28 WL11	28/28 WL12	N/A
220227	28/28 WL12	28/28 WL12	N/A
220301	28/28 WL12	28/28 WL13	N/A
220302	28/28 WL12	28/28 WL14	N/A
220303	28/28 WL11	28/28 WL14	N/A
220304	28/28 WL11	28/28 WL15	N/A
220308	28/28 WL11	28/28 WL14	N/A
220311	28/28 WL8	28/28 WL12	5/35
220312	28/28 WL8	28/28 WL10	7/35
220314	28/28 WL8	28/28 WL8	9/35
220316	28/28 WL7	28/28 WL8	10/35
220317	28/28 WL7	28/28 WL8	11/35
220321	28/28 WL4	28/28 WL6	14/35
220323	28/28 WL2	28/28 WL6	16/35
220324	28/28 WL2	28/28 WL6	17/35
220328	27/28 WL1	28/28 WL4	22/35
220328	27/28 WL1	27/28 WL4	25/35
220330	28/28 WL1	27/28 WL2	22/35
220331	28/28	27/28 WL1	22/35
220404	28/28	28/28	21/35
