DATE	A01	A02	B01	B02
220204	0/14	0/14	0/14	0/14
220206	0/14	0/14	0/0	0/14
220215	0/14	1/14	0/0	1/14
220217	1/14	1/14	0/0	1/14
220221	1/14	3/14	0/0	3/14
220222	1/14	3/14	0/0	4/14
220223	1/14	3/14	0/0 WL1	7/14
220224	2/14	4/14	0/0 WL1	8/14
220225	3/14	9/14	0/0 WL2	14/14 WL2
220226	5/14	14/14	0/0 WL2	14/14 WL3
220301	6/14	14/14	0/0 WL2	14/14 WL3
220308	6/14	14/14	0/0 WL2	14/14 WL4
220312	7/14	14/14	0/0 WL2	14/14 WL4
220321	7/14	14/14	0/0 WL1	14/14 WL4
220328	8/14	14/14	0/0	14/14 WL4
220328	8/14	14/14	0/0	14/14 WL5
220330	11/14	16/16	0/0	13/16 WL3
220331	11/14	16/16	0/0	16/16
