DATE	001	002	003	004	005	006	007	008	009	010	011	012
220215	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220223	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220224	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220225	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220321	1	1	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220324	1	1	1	1	0	0	0	N/A	N/A	N/A	N/A	N/A
220330	1	1	1	1	0	0	0	0	0	N/A	N/A	N/A
220331	1	1	1	1	0	1	1	0	0	0	N/A	N/A
220404	1	1	1	1	0	1	1	1	1	0	N/A	N/A
220406	1	1	1	1	0	1	1	1	1	1	0	0
220408	1	1	1	1	0	1	1	1	2	1	1	1
220412	1	1	1	1	0	1	1	1	3	1	1	1
220417	1	1	1	1	0	1	1	2	3	1	1	1
