DATE	A01	A02
220204	0/10	0/10
220206	0/9	0/10
220212	0/12	2/13
220213	2/12	2/13
220215	4/12	2/13
220216	5/12	2/13
220216	6/12	2/13
220217	8/12	2/13
220221	8/12	3/13
220223	11/12	4/13
220224	11/12	5/13
220225	12/15	7/12
220301	12/15	8/12
220303	12/15	9/12
220304	12/15	10/12
220312	12/15	9/12
220316	12/14	10/13
220323	11/14	10/13
220324	11/14	9/13
220328	11/14	11/13
220330	12/13	12/13
220331	13/13	12/13
220404	12/13	13/13
220405	13/13	13/13
220406	11/13	13/13
220407	12/13	11/13
220408	11/13	11/13
