DATE	A01	B01
220204	0/150	0/49
220212	3/150	0/49
220213	13/150	0/49
220215	31/150	0/49
220216	48/150	0/49
220216	64/150	0/49
220217	69/150	0/49
220218	132/150	0/49
220219	136/150	0/49
220221	138/150	0/49
220221	150/150 WL1	0/49
220222	150/150 WL6	0/49
220223	150/150 WL31	0/49
220224	150/150 WL34	0/49
220225	150/150 WL44	0/49
220228	150/150 WL45	0/49
220301	150/150 WL47	0/49
220302	150/150 WL46	0/49
220303	150/150 WL44	0/49
220304	150/150 WL43	0/49
220305	150/150 WL43	7/49
220307	150/150 WL44	7/49
220308	150/150 WL43	7/49
220310	150/150 WL42	7/49
220311	150/150 WL43	14/49
220314	150/150 WL42	14/49
