DATE	A00	B00	C00	D00	E00
220204	0/15	0/15	0/15	0/15	0/15
220213	0/15	1/15	1/15	0/15	0/15
220215	0/15	1/15	1/15	1/15	1/15
220216	0/15	1/15	2/15	1/15	2/15
220216	0/15	1/15	4/15	2/15	2/15
220217	0/15	1/15	6/15	2/15	2/15
220219	0/15	1/15	6/15	2/15	3/15
220220	0/15	1/15	6/15	2/15	4/15
220223	0/15	1/15	6/15	2/15	5/15
220224	0/15	1/15	6/15	2/15	6/15
220226	0/15	1/15	7/15	2/15	6/15
220301	0/15	1/15	7/15	3/15	6/15
220303	0/15	3/15	7/15	2/15	6/15
220308	0/15	3/15	7/15	3/15	6/15
220309	0/15	4/15	7/15	4/15	6/15
220310	0/15	4/15	7/15	4/15	5/15
220311	0/15	5/15	7/15	4/15	5/15
220312	0/15	6/15	7/15	4/15	5/15
220314	1/15	6/15	7/15	3/15	5/15
220316	1/15	7/15	7/15	6/15	5/15
220317	2/15	7/15	7/15	7/15	5/15
220321	2/15	7/15	7/15	8/15	5/15
220328	2/15	8/15	8/15	8/15	5/15
220330	1/15	8/15	8/15	10/15	5/15
220331	1/15	9/15	8/15	10/15	5/15
220404	1/15	9/15	8/15	11/15	5/15
220410	1/15	9/15	8/15	10/15	5/15
