DATE	A01	A02	B01	B02	C01	C02	D01	D02
220204	0/24	0/24	0/24	0/24	0/24	0/24	N/A	N/A
220212	2/24	0/24	0/24	0/24	0/24	0/24	N/A	N/A
220213	11/24	0/24	0/24	0/24	6/24	1/24	N/A	N/A
220213	12/24	0/24	0/24	0/24	6/24	1/24	N/A	N/A
220214	14/24	2/24	0/24	0/24	7/24	1/24	N/A	N/A
220215	24/24	24/24	0/24	0/24	24/24	24/24	N/A	N/A
220221	24/24 WL2	24/24	N/A	N/A	24/24	24/24	N/A	N/A
220223	24/24 WL6	24/24 WL7	N/A	N/A	23/24 WL4	22/24 WL5	N/A	N/A
220224	24/24 WL8	24/24 WL8	N/A	N/A	24/24 WL5	22/24 WL4	N/A	N/A
220225	24/24 WL10	24/24 WL10	N/A	N/A	24/24 WL6	24/24 WL3	N/A	N/A
220226	24/24 WL10	24/24 WL9	N/A	N/A	24/24 WL6	24/24 WL3	N/A	N/A
220228	24/24 WL11	24/24 WL10	N/A	N/A	24/24 WL6	24/24 WL3	N/A	N/A
220301	24/24 WL10	24/24 WL10	N/A	N/A	24/24 WL6	24/24 WL5	N/A	N/A
220303	24/24 WL10	24/24 WL10	N/A	N/A	24/24 WL6	24/24 WL6	N/A	N/A
220304	24/24 WL10	24/24 WL9	N/A	N/A	24/24 WL6	24/24 WL6	N/A	N/A
220306	24/24 WL10	24/24 WL10	N/A	N/A	24/24 WL6	24/24 WL6	N/A	N/A
220309	24/24 WL9	24/24 WL10	N/A	N/A	24/24 WL6	24/24 WL6	N/A	N/A
220310	24/24 WL9	24/24 WL9	N/A	N/A	24/24 WL6	24/24 WL5	N/A	N/A
220311	24/24 WL8	24/24 WL9	N/A	N/A	24/24 WL5	24/24 WL6	N/A	N/A
220316	24/24 WL8	24/24 WL9	N/A	N/A	23/24 WL5	24/24 WL6	N/A	N/A
220317	24/24 WL8	24/24 WL9	N/A	N/A	24/24 WL4	24/24 WL6	N/A	N/A
220321	24/24 WL7	24/24 WL8	N/A	N/A	24/24 WL4	24/24 WL5	N/A	N/A
220323	24/24 WL7	24/24 WL8	N/A	N/A	24/24 WL5	24/24 WL4	N/A	N/A
220324	24/24 WL8	24/24 WL7	N/A	N/A	24/24 WL5	24/24 WL5	N/A	N/A
220328	24/24 WL8	24/24 WL6	N/A	N/A	24/24 WL4	24/24 WL1	N/A	N/A
220328	24/24 WL7	24/24 WL7	N/A	N/A	24/24 WL4	24/24 WL3	N/A	N/A
220330	24/0 WL5	24/0 WL5	N/A	N/A	24/24 WL4	24/24 WL3	N/A	N/A
220331	24/0 WL5	24/0 WL4	N/A	N/A	24/0 WL2	24/0 WL1	N/A	N/A
220404	24/0 WL5	24/0 WL1	N/A	N/A	23/0 WL1	24/0	N/A	N/A
220405	24/0 WL3	24/0 WL1	N/A	N/A	23/0 WL1	24/0	N/A	N/A
220406	24/0 WL2	24/0 WL1	N/A	N/A	23/0 WL1	24/0	N/A	N/A
220407	24/0 WL2	24/0	N/A	N/A	23/0 WL1	25/0	N/A	N/A
220408	24/0 WL1	24/0	N/A	N/A	23/0 WL1	25/0	N/A	N/A
220823	23/24 WL4	24/24 WL3	24/24 WL5	24/24 WL3	24/24 WL4	24/24 WL6	24/24 WL3	24/24 WL4
