DATE	A01	A02	A03	A04	A05	A06	A07	A08	B01	B02	B03	B04	B05	B06	B07	B08
220204	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40
220212	3/40	3/40	3/40	0/40	0/40	3/40	2/40	0/40	3/40	1/40	1/40	1/40	0/40	7/40	1/40	0/40
220213	6/40	5/40	5/40	1/40	0/40	5/40	3/40	1/40	7/40	1/40	1/40	3/40	0/40	7/40	5/40	1/40
220214	7/40	7/40	6/40	1/40	0/40	6/40	3/40	1/40	7/40	1/40	2/40	3/40	0/40	7/40	5/40	1/40
220215	11/40	12/40	9/40	5/40	0/40	9/40	4/40	1/40	14/40	2/40	4/40	11/40	0/40	12/40	8/40	1/40
220216	39/40	32/40	20/40	12/40	0/40	34/40	6/40	8/40	32/40	5/40	10/40	24/40	0/40	33/40	14/40	1/40
220216	40/40	40/40	36/40	21/40	0/40	40/40	40/40	12/40	40/40	16/40	10/40	33/40	0/40	40/40	18/40	1/40
220217	40/40	40/40	38/40	22/40	0/40	40/40	40/40	15/40	40/40	19/40	10/40	34/40	0/40	40/40	19/40	1/40
220218	40/40	40/40	40/40	22/40	0/0	40/40	40/40	18/40	39/40	19/40	10/40	33/40	0/0	40/40	20/40	1/40
220219	40/40	40/40	40/40	22/40	0/0	40/40	40/40	20/40	40/40	18/40	11/40	33/40	0/0	39/40	20/40	1/40
220221	38/40	40/40	40/40	30/40	0/0	40/40	40/40	22/40	39/40 WL1	21/40	12/40	33/40	0/0	38/40	22/40	1/40
220222	39/40	40/40	40/40	30/40	0/0	40/40	40/40	22/40	40/40	21/40	12/40	33/40	0/0	38/40	22/40	1/40
220223	39/40 WL1	40/40	40/40 WL1	40/40	0/0	40/40	40/40	37/40	40/40 WL1	22/40	14/40	34/40	0/0	39/40	23/40	1/40
220224	40/40 WL2	40/40 WL1	40/40 WL2	40/40 WL2	0/0	40/40 WL1	40/40 WL1	40/40 WL1	40/40 WL1	28/40	15/40	34/40	0/0	36/40	24/40	1/40
220225	39/40 WL3	40/40 WL4	40/40 WL4	40/40 WL4	0/0	40/40 WL5	40/40 WL3	40/40 WL3	40/40 WL1	33/38	16/40	35/40	0/0	37/40	29/38	1/40
220226	40/40 WL2	40/40 WL4	40/40 WL4	40/40 WL4	0/0	40/40 WL5	40/40 WL3	40/40 WL3	40/40 WL1	33/38	16/40	35/40	0/0	37/40	29/38	1/40
220227	40/40 WL3	40/40 WL4	40/40 WL4	40/40 WL4	0/0	40/40 WL5	40/40 WL3	40/40 WL3	40/40 WL1	33/38	16/40	34/40	0/0	36/40	29/38	1/40
220228	40/40 WL2	40/40 WL4	40/40 WL4	40/40 WL4	0/0	40/40 WL5	40/40 WL3	40/40 WL3	40/40 WL1	33/38	16/40	34/40	0/0	36/40	30/38	1/40
220302	40/40 WL3	40/40 WL4	40/40 WL4	40/40 WL4	0/0	40/40 WL5	40/40 WL3	40/40 WL4	40/40 WL1	33/38	16/40	34/40	0/0	36/40	31/38	1/40
220305	40/40 WL2	40/40 WL4	40/40 WL4	40/40 WL4	0/0	40/40 WL5	40/40 WL3	40/40 WL4	40/40 WL1	33/38	16/40	35/40	0/0	36/40	31/38	1/40
220307	40/40 WL2	40/40 WL4	40/40 WL4	40/40 WL4	0/0	40/40 WL5	40/40 WL3	40/40 WL4	39/40 WL1	33/38	16/40	35/40	0/0	36/40	31/38	1/40
220308	40/40 WL2	40/40 WL3	40/40 WL4	40/40 WL4	0/0	40/40 WL5	40/40 WL3	40/40 WL4	40/40	33/38	16/40	35/40	0/0	36/40	31/38	1/40
