DATE	A01	A02	A03	A04	A05
220204	0/35	0/35	0/35	0/35	N/A
220212	3/35	0/35	0/35	0/35	N/A
220213	7/35	0/35	0/35	0/35	N/A
220215	12/35	0/35	2/35	1/35	N/A
220216	26/35	2/35	3/35	1/35	N/A
220216	35/35	7/35	5/35	1/35	N/A
220217	35/35	10/35	6/35	2/35	N/A
220218	35/35	16/35	8/35	5/35	N/A
220219	35/35	17/35	8/35	5/35	N/A
220221	35/35 WL1	23/35	10/35	6/35	N/A
220222	35/35 WL1	25/35	10/35	7/35	N/A
220223	35/35 WL2	35/35 WL1	27/35	13/35	N/A
220224	35/35 WL4	35/35 WL3	35/35	29/35	N/A
220225	35/35 WL9	35/35 WL7	35/35 WL6	35/35 WL5	N/A
220226	35/35 WL9	35/35 WL8	35/35 WL8	35/35 WL7	N/A
220301	35/35 WL10	35/35 WL9	34/35 WL8	35/35 WL8	N/A
220302	35/35 WL10	35/35 WL9	35/35 WL8	35/35 WL8	N/A
220303	35/35 WL10	35/35 WL9	35/35 WL6	35/35 WL8	N/A
220304	35/35 WL9	35/35 WL8	35/35 WL4	35/35 WL8	N/A
220305	35/35 WL9	35/35 WL8	35/35 WL6	35/35 WL8	N/A
220306	34/35 WL9	35/35 WL8	35/35 WL6	35/35 WL8	N/A
220307	35/35 WL8	35/35 WL8	35/35 WL6	35/35 WL8	N/A
220308	35/35 WL8	35/35 WL5	35/35 WL5	35/35 WL7	N/A
220309	35/35 WL9	35/35 WL5	35/35 WL5	35/35 WL7	N/A
220310	35/35 WL8	35/35 WL5	35/35 WL5	35/35 WL5	N/A
220311	35/35 WL7	35/35 WL5	34/35 WL5	35/35 WL4	N/A
220312	35/35 WL7	35/35 WL5	35/35 WL4	35/35 WL4	N/A
220314	35/35 WL7	35/35 WL4	35/35 WL4	35/35 WL4	N/A
220316	35/35 WL7	34/35 WL1	35/35 WL1	35/35 WL2	6/0
220317	35/35 WL7	35/35	35/35 WL1	34/35 WL1	8/0
220321	35/35 WL6	35/35	35/35	34/35	12/35
220323	35/35 WL4	34/35	34/35	35/35	13/35
220324	35/35 WL4	35/35	33/35	35/35	13/35
220328	35/35 WL1	32/35	35/35	35/35	18/35
220328	35/35 WL1	33/35	35/35	35/35	25/35
220330	35/35 WL1	34/35 WL1	35/35	35/35	34/35 WL1
220331	35/35 WL1	34/35 WL1	34/35	35/35 WL1	35/35 WL1
220404	36/36	34/36	35/36	36/36	34/36
220405	35/36	35/36	35/36	35/36	36/36
220406	36/36	35/36	34/36	35/36	33/36
220407	36/36	34/36	34/36	35/36	32/36
220408	35/36	33/36	31/36	30/36	32/36
