DATE	001	002	003	004	005	006	007	008	009
220204	0/14	0/14	0/14	0/14	0/14	0/14	0/14	0/14	0/14
220212	0/14	1/14	2/14	0/14	1/14	0/14	1/14	1/14	0/14
220213	0/14	1/14	4/14	0/14	1/14	0/14	2/14	1/14	1/14
220214	0/14	2/14	5/14	0/14	1/14	1/14	2/14	2/14	1/14
220215	1/14	7/14	12/14	0/14	4/14	4/14	3/14	2/14	1/14
220216	2/14	12/14	14/14	2/14	6/14	7/14	6/14	4/14	1/14
220216	2/14	13/14	13/14	2/14	14/14	10/14	14/14	8/14	1/14
220217	2/14	13/14	14/14	3/14	14/14	13/14	14/14	8/14	1/14
220218	14/14	14/14	14/14	14/14	14/14	14/14	14/14	14/14	6/14
220219	14/14	14/14	14/14	14/14	14/14	14/14	14/14	14/14	7/14
220221	14/14	14/14	14/14	14/14	14/14 WL1	14/14	14/14	14/14	8/14
220222	14/14	14/14	14/14	14/14	14/14 WL1	14/14	14/14	14/14	9/14
220223	14/14	14/14	14/14 WL1	14/14	14/14 WL2	14/14 WL2	14/14 WL3	14/14	14/14
220224	14/14	14/14 WL2	14/14 WL1	14/14 WL1	14/14 WL2	14/14 WL2	14/14 WL3	14/14 WL1	14/14
220225	14/14 WL2	14/14 WL5	14/14 WL2	14/14 WL2	14/14 WL3	14/14 WL2	14/14 WL4	14/14 WL3	13/14 WL2
220226	14/14 WL3	14/14 WL4	14/14 WL3	14/14 WL3	14/14 WL4	14/14 WL2	14/14 WL5	14/14 WL3	14/14 WL1
220228	14/14 WL3	14/14 WL4	14/14 WL3	14/14 WL3	14/14 WL5	14/14 WL2	14/14 WL5	14/14 WL3	14/14 WL1
220301	14/14 WL3	14/14 WL4	14/14 WL4	14/14 WL3	14/14 WL5	14/14 WL2	14/14 WL5	14/14 WL3	14/14
220303	14/14 WL3	14/14 WL4	14/14 WL4	13/14 WL3	14/14 WL4	14/14 WL3	14/14 WL5	14/14 WL4	14/14 WL1
220304	14/14 WL3	14/14 WL4	14/14 WL4	14/14 WL2	14/14 WL4	14/14 WL4	14/14 WL5	14/14 WL4	14/14 WL3
