DATE	A01	A02	A03	A04	A05	A06
220204	0/35	0/35	0/35	0/35	N/A	N/A
220212	6/35	0/35	0/35	0/35	N/A	N/A
220213	18/35	0/35	0/35	2/35	N/A	N/A
220214	18/35	2/35	1/35	2/35	N/A	N/A
220215	35/35	9/35	2/35	0/35	N/A	N/A
220216	35/35	35/35	35/35	5/35	N/A	N/A
220216	35/35	35/35	35/35	34/35	N/A	N/A
220217	35/35	35/35	35/35	35/35	N/A	N/A
220221	35/35 WL2	35/35 WL2	35/35 WL1	35/35 WL1	N/A	N/A
220222	35/35 WL2	35/35 WL2	35/35 WL2	35/35 WL2	N/A	N/A
220223	35/35 WL8	33/35 WL8	35/35 WL7	35/35 WL8	N/A	N/A
220224	35/35 WL12	35/35 WL9	35/35 WL11	35/35 WL11	N/A	N/A
220225	35/35 WL19	34/35 WL20	35/35 WL18	35/35 WL18	N/A	N/A
220226	35/35 WL20	35/35 WL20	35/35 WL19	35/35 WL19	N/A	N/A
220228	35/35 WL20	35/35 WL20	35/35 WL19	35/35 WL20	N/A	N/A
220301	35/35 WL21	35/35 WL20	35/35 WL20	35/35 WL19	N/A	N/A
220302	35/35 WL22	35/35 WL20	35/35 WL20	34/35 WL19	N/A	N/A
220303	35/35 WL22	35/35 WL20	35/35 WL17	35/35 WL16	0/0	0/0 WL1
