DATE	A00	B00
220204	0/475	0/475
220212	4/475	1/475
220213	16/475	14/475
220214	19/475	17/475
220215	35/475	52/475
220216	46/475	69/475
220216	53/475	84/475
220217	53/475	85/475
220218	53/475	87/475
220221	55/475	88/475
220221	73/475	101/475
220222	80/475	111/475
220223	139/475	193/475
220224	168/475	232/475
220225	202/475	290/475
220226	207/475	296/475
220227	207/475	297/475
220228	210/475	299/475
220301	213/475	308/475
220302	215/475	312/475
220303	217/475	316/475
220304	217/475	319/475
220305	215/475	319/475
220306	217/475	321/475
220307	219/475	324/475
