DATE	A01	A02	A03	A04
220204	0/37	0/38	N/A	N/A
220212	2/37	1/38	N/A	N/A
220213	7/37	2/38	N/A	N/A
220214	9/37	3/38	N/A	N/A
220215	16/37	7/38	N/A	N/A
220216	24/37	17/38	N/A	N/A
220216	26/37	27/38	N/A	N/A
220217	26/37	28/38	N/A	N/A
220218	27/37	31/38	N/A	N/A
220219	27/37	32/38	N/A	N/A
220221	28/37	32/38	N/A	N/A
220222	30/37	33/38	N/A	N/A
220223	37/37 WL3	38/38 WL2	N/A	N/A
220224	36/37 WL5	38/38 WL9	N/A	N/A
220225	37/37 WL7	38/38 WL10	N/A	N/A
220226	37/37 WL8	38/38 WL10	N/A	N/A
220227	37/37 WL9	38/38 WL9	N/A	N/A
220228	37/37 WL10	38/38 WL10	N/A	N/A
220301	37/37 WL11	38/38 WL12	N/A	N/A
220302	37/37 WL12	38/38 WL12	N/A	N/A
220303	37/37 WL11	38/38 WL12	N/A	N/A
220308	37/37 WL10	38/38 WL12	N/A	N/A
220316	37/37 WL9	37/38 WL12	N/A	N/A
220317	37/37 WL9	38/38 WL11	N/A	N/A
220324	37/37 WL9	37/38 WL11	N/A	N/A
220328	37/37 WL9	38/38 WL10	N/A	N/A
220330	46/46 WL1	46/48 WL1	N/A	N/A
220331	46/60	50/60	N/A	N/A
220404	40/60	53/60	N/A	N/A
220405	41/60	52/60	N/A	N/A
220406	40/60	52/60	N/A	N/A
220407	40/60	56/60	N/A	N/A
220408	40/60	57/60	N/A	N/A
220410	39/60	58/60	N/A	N/A
220412	38/60	58/60	N/A	N/A
220417	38/60	55/60	N/A	N/A
220417	9/20	N/A	N/A	N/A
220417	11/30	N/A	N/A	N/A
220823	25/25	29/25 WL1	39/25 WL1	0/0
