DATE	A00	A01	A02	B00
220204	N/A	0/20	0/20	N/A
220213	N/A	1/20	0/20	N/A
220215	N/A	5/20	0/20	N/A
220216	N/A	6/20	0/20	N/A
220217	N/A	6/20	1/20	N/A
220218	N/A	7/20	4/20	N/A
220219	N/A	7/20	3/20	N/A
220220	N/A	8/20	3/20	N/A
220221	N/A	8/20	4/20	N/A
220222	N/A	9/20	3/20	N/A
220223	N/A	9/20	6/20	N/A
220224	N/A	12/20	6/20	N/A
220225	N/A	17/20	9/20	N/A
220226	N/A	19/20	10/20	N/A
220301	N/A	20/20	11/20	N/A
220302	N/A	20/20	13/20	N/A
220303	N/A	20/20	14/20	N/A
220304	N/A	20/20	15/20	N/A
220305	N/A	20/20	14/20	N/A
220306	N/A	19/20	14/20	N/A
220310	N/A	20/20	14/20	N/A
220314	N/A	20/20	15/20	N/A
220317	N/A	19/20	15/20	N/A
220321	N/A	20/20	16/20	N/A
220323	N/A	20/20	17/20	N/A
220328	N/A	20/20	19/20	N/A
220328	N/A	20/20	20/20	N/A
220330	N/A	19/20 WL1	18/20 WL1	N/A
220331	N/A	19/20	20/20	N/A
220404	N/A	20/20	20/20	N/A
220405	N/A	19/20	20/20	N/A
220406	N/A	19/20	19/20	N/A
220407	N/A	18/20	19/20	N/A
220408	N/A	20/20	20/20	N/A
220417	N/A	20/20	19/20	N/A
220823	24/25 WL4	N/A	N/A	25/25 WL4
