DATE	A01	A02	B01	B02
220204	0/25	0/25	0/25	0/25
220212	0/25	0/25	2/25	0/25
220213	2/25	3/25	7/25	1/25
220214	2/25	5/25	8/25	1/25
220215	7/25	16/25	25/25	7/25
220216	13/25	25/25	25/25	25/25
220216	25/25	25/25	25/25	25/25
220221	25/25	25/25 WL1	24/25 WL1	25/25 WL1
220222	25/25 WL1	25/25 WL1	25/25	25/25 WL1
220223	25/25 WL1	25/25 WL2	25/25 WL1	25/25 WL2
220224	25/25 WL3	25/25 WL3	25/25 WL4	25/25 WL7
220225	25/25 WL7	25/25 WL7	25/25 WL5	25/25 WL7
220226	25/25 WL8	25/25 WL7	25/25 WL6	25/25 WL7
220227	25/25 WL9	25/25 WL7	25/25 WL6	25/25 WL7
220301	25/25 WL10	25/25 WL8	25/25 WL6	25/25 WL6
220303	26/25 WL10	26/25 WL8	25/25 WL6	25/25 WL6
220306	27/25 WL10	26/25 WL8	25/25 WL6	25/25 WL6
220308	27/25 WL10	27/25 WL8	25/25 WL6	25/25 WL6
220309	27/25 WL11	28/25 WL8	25/25 WL6	25/25 WL6
220316	27/25 WL10	28/25 WL8	25/25 WL6	25/25 WL6
220317	27/25 WL10	28/25 WL8	26/25 WL6	25/25 WL6
220321	27/25 WL10	28/25 WL8	26/25 WL6	25/25 WL5
220323	26/25 WL10	28/25 WL8	26/25 WL7	25/25 WL6
220324	25/25 WL10	28/25 WL7	26/25 WL7	25/25 WL7
220328	25/25 WL10	28/25 WL8	26/25 WL7	25/25 WL7
220330	25/25 WL7	28/25 WL9	25/25 WL6	26/25 WL6
220331	25/25 WL7	28/25 WL8	26/25 WL5	25/25 WL6
220404	25/25 WL6	26/25 WL5	26/25 WL4	25/25 WL1
220405	25/25 WL6	26/25 WL4	26/25 WL3	25/25 WL2
220406	25/25 WL6	26/25 WL4	26/25 WL3	25/25 WL1
220407	25/25 WL6	26/25 WL4	27/25 WL2	25/25 WL1
220408	25/25 WL3	25/25 WL3	27/25 WL1	25/25
220410	25/25 WL2	25/25 WL3	27/25 WL1	25/25
