DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12
220204	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/0	0/0
220213	4/30	0/30	1/30	0/30	0/30	0/30	1/30	1/30	3/30	5/30	0/0	0/0
220214	6/30	0/30	1/30	0/30	0/30	0/30	1/30	1/30	3/30	5/30	0/0	0/0
220215	6/30	0/30	1/30	0/30	0/30	0/30	1/30	1/30	3/30	6/30	0/0	0/0
220216	7/30	1/30	2/30	0/30	0/30	1/30	1/30	1/30	3/30	6/30	0/0	0/0
220216	11/30	2/30	2/30	0/30	0/30	3/30	5/30	3/30	6/30	8/30	0/0	0/0
220217	16/30	5/30	2/30	0/30	0/30	3/30	7/30	3/30	6/30	11/30	0/0	0/0
220218	30/30	30/30	6/30	2/30	3/30	12/30	25/30	12/30	15/30	29/30	0/0	0/0
220219	30/30	30/30	5/30	2/30	3/30	12/30	26/30	13/30	15/30	29/30	0/0	0/0
220220	30/30	30/30	5/30	2/30	3/30	12/30	26/30	14/30	15/30	29/30	0/0	0/0
220221	30/30	30/30	7/30	3/30	3/30	12/30	27/30	15/30	17/30	30/30 WL1	0/0	0/0
220222	30/30	30/30	7/30	3/30	3/30	12/30	28/30	15/30	17/30	29/30 WL1	0/0	0/0
220223	30/30	30/30	8/30	3/30	3/30	14/30	28/30	16/30	18/30	30/30	0/0	0/0
220224	30/30	30/30	10/30	3/30	3/30	16/30	28/30	16/30	20/30	30/30	0/0	0/0
220225	29/30 WL1	30/30	25/30	3/30	3/30	25/30	30/30 WL1	20/30	28/30	30/30	0/0	0/0
220226	30/30 WL1	30/30	29/30 WL2	30/30 WL1	20/30	30/30 WL1	30/30 WL2	29/30 WL2	30/30 WL5	30/30 WL4	0/0	0/0
220227	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL1	22/30	30/30	30/30 WL2	30/30 WL1	30/30 WL6	30/30 WL4	0/0	0/0
220228	30/30 WL2	30/30 WL1	30/30 WL1	30/30 WL1	24/30	30/30 WL1	30/30 WL2	30/30 WL2	30/30 WL6	30/30 WL4	0/0	0/0
220301	30/30 WL2	30/30 WL1	30/30 WL1	30/30	27/30	30/30 WL1	30/30 WL2	30/30 WL2	30/30 WL6	30/30 WL4	0/0	0/0
220302	30/30 WL2	30/30 WL1	30/30 WL1	30/30	26/30	30/30 WL1	30/30 WL2	29/30 WL2	30/30 WL6	30/30 WL4	0/0	0/0
220303	30/30 WL2	30/30 WL1	30/30 WL1	30/30	26/30	30/30 WL1	30/30 WL2	30/30 WL1	30/30 WL5	30/30 WL4	0/0	0/0
220304	30/30 WL2	30/30	30/30 WL1	29/30	26/30	30/30 WL1	30/30 WL2	30/30 WL1	30/30 WL5	30/30 WL3	0/0	0/0
220305	30/30 WL2	30/30	30/30 WL1	30/30	26/30	30/30 WL1	30/30 WL2	30/30 WL1	30/30 WL5	30/30 WL3	0/0	0/0
220306	30/30 WL2	30/30	30/30 WL1	30/30	27/30	30/30 WL1	29/30 WL2	30/30 WL1	30/30 WL5	30/30 WL3	0/0	0/0
220307	30/30 WL2	30/30	30/30 WL1	30/30	27/30	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL5	30/30 WL3	0/0	0/0
220309	30/30 WL2	30/30	30/30 WL1	30/30	28/30	30/30 WL1	30/30 WL1	30/30 WL1	30/30 WL5	30/30 WL3	0/0	0/0
220310	30/30 WL2	30/30	30/30 WL1	30/30	27/30	30/30 WL1	30/30 WL1	30/30	30/30 WL5	30/30 WL3	0/17	0/0
220311	30/30 WL1	30/30	30/30	30/30	27/30	30/30 WL1	30/30 WL1	30/30	30/30 WL5	30/30 WL2	5/17	0/0
220312	30/30 WL1	30/30	30/30	30/30	26/30	30/30 WL1	30/30 WL1	30/30	30/30 WL3	30/30 WL1	9/17	0/0
220314	30/30	30/30	30/30	30/30	27/30	30/30	30/30 WL1	30/30	30/30 WL3	30/30 WL1	10/17	0/0
220316	30/30	30/30	30/30	30/30	28/30	30/30	30/30 WL1	29/30	30/30 WL3	30/30 WL1	12/17	0/0
220317	30/30	30/30	29/30	30/30	30/30	30/30	30/30 WL1	29/30	30/30 WL2	30/30	13/17	0/0
220321	30/30	30/30	30/30	29/30	29/30	29/30	30/30 WL1	30/30	30/30 WL1	30/30	16/17	0/0
220323	30/30	29/30	30/30	28/30	30/30	28/30	30/30 WL1	30/30	30/30 WL1	30/30	14/17	0/0
220324	30/30	30/30	30/30	29/30	29/30	30/30	29/30 WL1	30/30	30/30 WL1	30/30	14/17	0/0
220328	30/30	30/30	29/30	29/30	28/30	30/30	28/30 WL1	30/30	30/30	30/30	15/17	0/0
220328	30/30	30/30	30/30	30/30	30/30 WL1	30/30	28/30 WL1	30/30	30/30 WL1	30/30	17/17	0/0
220330	30/30 WL1	29/30 WL1	27/30 WL1	29/30 WL1	30/30 WL1	30/30 WL1	26/30 WL1	30/30 WL1	30/30 WL1	28/30 WL1	17/17	0/0
220331	31/31	30/30	28/30	30/30	28/30	31/31	26/30 WL1	31/31	30/31	29/30	17/17	0/0
220404	31/31	30/30	28/30	29/30	26/30	31/31	29/30	31/31	31/31	30/30	17/17	0/0
220405	31/31	30/30	28/30	29/30	25/30	31/31	29/30	31/31	29/31	29/30	17/17	0/0
220406	30/31	28/30	28/30	29/30	25/30	31/31	30/30	31/31	31/31	30/30	17/17	0/0
220407	29/31	28/30	28/30	29/30	25/30	31/31	30/30	30/31	31/31	30/30	17/17	0/0
220408	28/31	28/30	28/30	29/30	25/30	31/31	30/30	30/31	31/31	29/30	17/17	0/0
220410	29/31	29/30	28/30	29/30	25/30	31/31	29/30	31/31	31/31	29/30	17/17	0/0
220412	29/31	28/30	28/30	29/30	25/30	31/31	29/30	31/31	31/31	29/30	17/17	0/0
