DATE	A00	B00
220204	0/32	0/32
220212	2/32	2/32
220213	16/32	15/32
220214	20/32	20/32
220215	32/32	32/32
220221	32/32 WL1	32/32
220221	32/32 WL3	32/32
220222	32/32 WL3	32/32 WL2
220223	32/32 WL17	32/32 WL23
220224	32/32 WL21	32/32 WL27
220225	32/32 WL24	32/32 WL25
220226	32/32 WL23	32/32 WL25
220228	32/32 WL23	32/32 WL24
220302	32/32 WL22	32/32 WL24
220303	32/32 WL23	32/32 WL24
220306	32/32 WL22	32/32 WL24
220311	32/32 WL23	32/32 WL24
220312	32/32 WL22	32/32 WL24
220316	32/32 WL20	32/32 WL25
220321	32/32 WL19	32/32 WL22
220324	32/32 WL18	32/32 WL22
220328	32/32 WL15	32/32 WL13
220328	31/32 WL15	32/32 WL12
220330	31/0 WL12	31/0 WL10
220331	31/0 WL9	31/0 WL7
220404	31/0 WL5	31/0 WL6
220406	31/0 WL4	32/0 WL4
