DATE	A00	B00
220204	0/20	0/20
220213	1/20	1/20
220216	2/20	2/20
220218	18/20	17/20
220219	18/20	19/20
220221	17/20	19/20
220223	17/20	20/20
220225	18/20	19/20
220226	20/20 WL5	20/20 WL2
220228	20/20 WL5	20/20 WL4
220301	19/20 WL5	20/20 WL4
220302	20/20 WL3	20/20 WL4
220303	20/20 WL3	20/20 WL5
220304	20/20 WL4	20/20 WL5
220306	20/20 WL4	20/20 WL6
220316	20/20 WL3	20/20 WL6
220317	20/20 WL3	19/20 WL6
220321	20/20 WL3	20/20 WL5
220324	20/20 WL3	20/20 WL4
220328	20/20 WL3	19/20 WL5
220330	19/20 WL1	20/20 WL2
220404	20/20 WL1	20/20 WL2
220406	19/20 WL1	20/20 WL2
220407	20/20	20/20 WL2
220408	20/20	19/20 WL2
220417	20/20	18/20 WL2
220823	14/20	17/20
