DATE	A00	B00	C00	D00	E00
220204	0/20	0/50	N/A	N/A	N/A
220212	9/20	6/50	N/A	N/A	N/A
220213	13/20	10/50	N/A	N/A	N/A
220214	17/20	12/50	N/A	N/A	N/A
220215	20/20	13/50	N/A	N/A	N/A
220217	19/20	12/50	N/A	N/A	N/A
220218	18/20	N/A	N/A	N/A	N/A
220221	17/20	N/A	N/A	N/A	N/A
220223	19/20	N/A	N/A	N/A	N/A
220225	20/20	N/A	N/A	N/A	N/A
220301	20/20 WL1	N/A	N/A	N/A	N/A
220311	20/20 WL2	N/A	N/A	N/A	N/A
220314	20/20 WL3	N/A	N/A	N/A	N/A
220316	19/20 WL2	N/A	N/A	N/A	N/A
220317	19/20 WL1	N/A	N/A	N/A	N/A
220323	20/20	N/A	N/A	N/A	N/A
220328	19/20	N/A	N/A	N/A	N/A
220330	17/20	N/A	N/A	N/A	N/A
220331	18/20	N/A	N/A	N/A	N/A
220404	16/20	N/A	N/A	N/A	N/A
220405	15/20	N/A	N/A	N/A	N/A
220406	14/20	N/A	N/A	N/A	N/A
220417	12/20	N/A	N/A	N/A	N/A
220417	19/70	N/A	N/A	N/A	N/A
220823	18/25	17/25	20/20 WL2	18/20 WL5	20/20 WL4
