DATE	A01	A02	A03	A04
220204	0/30	0/30	0/30	0/30
220212	0/30	1/30	0/30	0/30
220213	1/30	3/30	2/30	0/30
220214	1/30	4/30	2/30	0/30
220215	2/30	6/30	2/30	0/30
220216	2/30	7/30	2/30	0/30
220216	3/30	15/30	2/30	1/30
220217	4/30	16/30	2/30	1/30
220218	10/30	27/30	6/30	6/30
220219	10/30	29/30	6/30	6/30
220221	10/30	29/30	7/30	10/30
220222	11/30	29/30	7/30	10/30
220223	15/30	30/30	7/30	9/30
220224	17/30	30/30	8/30	11/30
220225	23/30	30/30	10/30	18/30
220226	30/30	30/30 WL3	23/30	30/30 WL1
220227	30/30	30/30 WL3	25/30	29/30 WL1
220228	30/30	30/30 WL3	26/30	30/30
220301	30/30 WL1	30/30 WL1	28/30	30/30
220302	30/30 WL1	30/30 WL2	30/30	30/30
220303	30/30 WL1	30/30 WL2	30/30 WL1	29/30
