DATE	001	002	003	004	005	006
220204	0/10	0/10	0/10	0/10	0/10	0/10
220303	0/10	1/10	2/10	0/10	0/10	1/10
220305	0/10	2/10	3/10	1/10	0/10	1/10
220306	0/10	2/10	3/10	2/10	0/10	1/10
220308	0/10	2/10	3/10	2/10	0/10	2/10
220309	0/10	2/10	3/10	2/10	1/10	2/10
220310	0/10	2/10	3/10	3/10	1/10	2/10
220311	0/10	2/10	3/10	4/10	1/10	2/10
220312	0/10	2/10	3/10	4/10	1/10	3/10
220316	1/10	2/10	4/10	4/10	1/10	4/10
220321	1/10	3/10	4/10	4/10	2/10	4/10
220328	1/10	3/10	5/10	5/10	2/10	4/10
220328	1/10	3/10	5/10	6/10	2/10	4/10
