DATE	A01	A02	B01	B02
220204	0/24	0/24	N/A	N/A
220215	3/24	1/24	N/A	N/A
220216	4/24	2/24	N/A	N/A
220216	5/24	2/24	N/A	N/A
220218	6/24	3/24	N/A	N/A
220221	6/24	4/24	N/A	N/A
220222	8/24	5/24	N/A	N/A
220223	14/24	6/24	N/A	N/A
220224	17/24	6/24	N/A	N/A
220225	24/24	10/24	N/A	N/A
220226	24/24	24/24	N/A	N/A
220301	24/24	23/24	N/A	N/A
220302	24/24	24/24	N/A	N/A
220305	24/24	24/24 WL1	N/A	N/A
220307	24/24 WL1	24/24 WL1	N/A	N/A
220312	24/24	24/24 WL1	N/A	N/A
220316	23/24	24/24	N/A	N/A
220317	24/24	24/24	N/A	N/A
220323	24/24	24/24 WL1	N/A	N/A
220324	24/24 WL1	24/24 WL1	N/A	N/A
220330	23/24 WL3	22/24 WL3	N/A	N/A
220331	23/24 WL1	24/24	N/A	N/A
220404	24/24 WL1	24/24	N/A	N/A
220406	24/24	24/24	N/A	N/A
220412	24/24	23/24	N/A	N/A
220823	24/24 WL3	24/24 WL2	24/24 WL3	24/24 WL4
