DATE	A00	B00	C00	D00	E00	F00	G00	H00	I00
220204	0/10	0/30	0/15	0/25	0/25	0/25	0/30	0/15	N/A
220212	0/0	0/0	0/0	4/40	0/0	0/0	1/30	1/15	N/A
220213	0/0	0/0	0/0	5/40	0/0	0/0	2/30	1/15	N/A
220214	0/0	0/0	0/0	6/40	0/0	0/0	3/30	1/15	N/A
220215	0/0	0/0	0/0	8/40	0/0	0/0	3/30	2/15	N/A
220218	0/0	0/0	0/0	13/40	0/0	0/0	6/30	7/15	N/A
220221	0/0	0/0	0/0	17/40	0/0	0/0	9/30	8/15	N/A
220221	0/0 WL3	0/0	0/0 WL1	17/40	0/0 WL1	0/0	10/30	8/15	N/A
220223	0/0 WL4	0/0	0/0 WL1	20/40	0/0 WL1	0/0 WL1	11/30	9/15	N/A
220224	0/0 WL5	0/0	0/0 WL1	19/40	0/0 WL1	0/0	10/30	8/15	N/A
220225	0/0 WL6	0/0 WL1	0/0 WL1	19/40	0/0 WL1	0/0	10/30	8/15	N/A
220226	0/0 WL6	0/0 WL1	0/0 WL1	19/40	0/0 WL1	0/0	11/30	8/15	N/A
220228	0/0 WL6	0/0 WL1	0/0 WL1	20/40	0/0 WL1	0/0	11/30	9/15	N/A
220301	0/0 WL9	0/0 WL1	0/0 WL1	19/40	0/0 WL1	0/0 WL2	10/30	9/15	N/A
220302	0/0 WL9	0/0 WL1	0/0 WL1	20/40	0/0 WL1	0/0 WL2	10/30	10/15	N/A
220303	0/0 WL9	0/0 WL1	0/0 WL1	21/40	0/0 WL1	0/0 WL2	10/30	11/15	N/A
220304	0/0 WL9	0/0 WL1	0/0 WL1	22/40	0/0 WL1	0/0 WL3	9/30	11/15	N/A
220305	0/0 WL9	0/0 WL1	0/0 WL1	22/40	0/0 WL1	0/0 WL3	11/30	13/15	N/A
220306	0/0 WL9	0/0 WL1	0/0 WL1	23/40	0/0 WL1	0/0 WL3	11/30	13/15	N/A
220307	0/0 WL10	0/0 WL1	0/0 WL1	24/40	0/0 WL1	0/0 WL3	12/30	13/15	N/A
220308	0/0 WL10	0/0 WL1	0/0 WL1	24/40	0/0 WL1	0/0 WL3	16/30	13/15	N/A
220310	0/0 WL10	0/0 WL1	0/0 WL1	24/40	0/0 WL1	0/0 WL3	17/30	13/15	N/A
220311	0/0 WL10	0/0 WL1	0/0 WL1	23/40	0/0 WL1	0/0 WL2	18/30	13/15	0/20
220312	0/0 WL10	0/0 WL1	0/0 WL1	23/40	0/0 WL1	0/0 WL2	17/30	13/15	0/20
220314	0/0 WL11	0/0 WL1	0/0 WL1	23/40	0/0 WL1	0/0 WL2	19/30	14/15	0/20
220316	0/0 WL11	0/0 WL1	0/0 WL1	23/40	0/0 WL1	0/0 WL3	18/30	15/15	1/20
220317	0/0 WL10	0/0 WL1	0/0 WL1	23/40	0/0 WL1	0/0 WL3	18/30	15/15 WL1	2/20
220321	0/0 WL10	0/0 WL2	0/0 WL1	23/40	0/0 WL1	0/0 WL2	18/30	15/15 WL2	2/20
220323	0/0 WL12	0/0 WL2	0/0 WL1	24/40	0/0 WL1	0/0 WL3	18/30	15/15 WL2	3/20
220324	0/0 WL10	4/0 WL2	0/0 WL1	25/40	1/15 WL2	0/0 WL3	18/30	15/15 WL2	3/20
220328	0/0 WL9	6/0 WL2	0/0 WL1	28/40	8/15	0/0 WL3	18/30	15/15 WL2	4/20
220328	0/0 WL9	6/0 WL2	0/0 WL1	25/40	8/15	0/0 WL3	18/30	15/15 WL2	4/20
220330	4/0 WL3	8/0	0/0 WL4	25/40	14/15	4/0 WL4	15/30	14/15 WL1	6/20
220331	4/0 WL3	8/0	0/0 WL5	25/40	15/15 WL1	4/0 WL4	14/30	17/25	6/20
220404	5/0 WL2	8/0	0/0 WL6	28/40	15/15 WL1	4/0 WL3	14/30	20/25	5/20
220405	5/0 WL2	8/0	0/0 WL6	31/40	15/15 WL1	4/0 WL2	13/30	20/25	5/20
220406	5/0 WL2	8/0	0/0 WL7	31/40	13/15 WL1	4/0 WL2	12/30	19/25	5/20
220407	5/0 WL1	8/0	0/0 WL7	30/40	14/15	4/0 WL2	13/30	18/25	5/20
