DATE	001	002	003	004	005	006	007	008	009	010	A00	B00	C00	D00	E00	F00	G00	H00	I00	J00
220204	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220301	0/10	0/10	0/10	0/10	1/10	0/10	0/10	0/10	0/10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220302	0/10	0/10	1/10	0/10	1/10	0/10	0/10	0/10	0/10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220307	0/10	1/10	1/10	0/10	1/10	0/10	0/10	0/10	0/10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220308	0/10	2/10	1/10	0/10	1/10	1/10	0/10	0/10	3/10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220309	0/10	3/10	1/10	1/10	1/10	1/10	0/10	0/10	3/10	1/2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220310	0/10	3/10	1/10	1/10	1/10	1/10	0/10	0/10	4/10	1/2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220311	0/10	3/10	1/10	2/10	1/10	1/10	0/10	0/10	4/10	1/2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220314	0/10	3/10	1/10	2/10	1/10	1/10	0/10	0/10	5/10	1/2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220316	0/10	3/10	1/10	2/10	1/10	1/10	0/10	1/10	5/10	1/2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220317	0/10	4/10	1/10	2/10	1/10	1/10	0/10	1/10	5/10	2/2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220323	0/10	5/10	1/10	2/10	1/10	1/10	0/10	1/10	5/10	2/2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220324	0/10	6/10	1/10	3/10	1/10	1/10	0/10	1/10	5/10	2/2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220404	1/10	6/10	1/10	3/10	1/10	1/10	0/10	1/10	5/10	2/2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220406	1/10	6/10	1/10	3/10	1/10	1/10	1/10	1/10	5/10	2/2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220823	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1/10	2/10	0/10	0/10	0/10	0/10	1/10	0/10	0/10	0/10
