DATE	001	002	003	004	005	006	007	008	009	010	011	012	013
220212	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/15
220213	0/10	0/10	0/10	1/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/15
220215	0/10	0/10	2/10	2/10	0/10	0/10	1/10	0/10	1/10	0/10	0/10	0/10	0/15
220218	0/10	0/10	2/10	2/10	0/10	0/10	1/10	1/10	1/10	0/10	0/10	0/10	0/15
220219	0/10	0/10	2/10	2/10	0/10	0/10	1/10	2/10	1/10	0/10	1/10	0/10	0/15
220223	0/10	0/10	2/10	2/10	0/10	0/10	1/10	2/10	1/10	1/10	1/10	0/10	0/15
220224	0/10	0/10	2/10	2/10	1/10	0/10	1/10	2/10	1/10	1/10	1/10	0/10	0/15
220225	0/10	0/10	2/10	3/10	1/10	0/10	1/10	2/10	1/10	1/10	1/10	0/10	0/15
220226	0/10	0/10	2/10	3/10	1/10	0/10	1/10	2/10	1/10	1/10	2/10	0/10	0/15
220227	0/10	1/10	2/10	3/10	1/10	0/10	1/10	2/10	1/10	1/10	2/10	0/10	0/15
220301	0/10	1/10	2/10	3/10	1/10	0/10	1/10	2/10	1/10	1/10	2/10	0/10	1/15
220304	0/10	1/10	2/10	4/10	1/10	0/10	1/10	2/10	1/10	1/10	2/10	0/10	1/15
220309	0/10	1/10	2/10	4/10	1/10	0/10	1/10	2/10	1/10	2/10	2/10	0/10	1/15
220314	0/10	1/10	2/10	4/10	1/10	0/10	1/10	2/10	1/10	3/10	2/10	0/10	1/15
