DATE	A01	A02	A03
220204	0/118	0/118	N/A
220212	1/118	0/118	N/A
220213	8/118	5/118	N/A
220214	8/118	6/118	N/A
220215	15/118	10/118	N/A
220216	29/118	23/118	N/A
220216	55/118	47/118	N/A
220217	59/118	52/118	N/A
220218	70/118	69/118	N/A
220219	72/118	72/118	N/A
220221	76/118	77/118	N/A
220222	77/118	77/118	N/A
220223	87/118	89/118	N/A
220224	94/118	96/118	N/A
220225	118/118 WL7	118/118 WL12	N/A
220226	118/118 WL16	118/118 WL17	N/A
220301	118/196 WL17	118/199 WL17	N/A
220302	134/196	136/199	N/A
220303	132/196	136/199	N/A
220306	133/196	136/199	N/A
220307	133/196	135/199	N/A
220308	135/196	136/199	N/A
220310	135/196	137/199	N/A
220311	133/196	137/199	N/A
220312	132/196	136/199	N/A
220314	132/196	135/199	N/A
220316	132/196	133/199	N/A
220321	134/196	134/199	N/A
220323	134/196	135/199	N/A
220324	135/196	135/199	N/A
220328	130/196	136/199	N/A
220328	134/196	148/199	N/A
220330	141/196	149/199	N/A
220331	141/196	150/199	N/A
220404	142/196	161/199	N/A
220405	143/196	160/199	N/A
220406	142/196	161/199	N/A
220407	142/196	164/199	N/A
220408	142/196	165/199	N/A
220410	142/196	163/199	N/A
220412	140/196	163/199	N/A
220417	140/196	157/199	N/A
220417	50/50 WL36	N/A	N/A
220823	90/90 WL33	96/90 WL32	90/90 WL34
