DATE	A00	B00
220204	0/75	0/25
220212	2/75	0/25
220213	13/75	0/25
220214	18/75	0/25
220215	33/75	0/25
220216	46/75	0/25
220216	53/75	0/25
220217	54/75	0/25
220218	55/75	0/25
220219	56/75	0/25
220221	57/75	0/25
220221	72/75	0/25
220222	73/75	0/25
220223	75/75 WL29	0/25
220224	75/75 WL34	0/25
220226	109/110 WL2	0/25
220227	110/110 WL2	0/25
220301	110/110 WL3	0/25
220302	110/110 WL4	0/25
220303	110/110 WL8	0/25
220304	110/110 WL11	0/25
220305	110/110 WL11	2/25
220307	110/110 WL10	2/25
220308	110/110 WL12	2/25
220311	110/110 WL12	4/25
220312	110/110 WL10	4/25
220314	117/120 WL2	4/10
