DATE	A01	A02	A03	A04	B01	B02	C01	C02
220204	0/5	0/5	N/A	N/A	N/A	N/A	N/A	N/A
220213	5/5	1/5	N/A	N/A	N/A	N/A	N/A	N/A
220215	5/5	3/5	N/A	N/A	N/A	N/A	N/A	N/A
220216	5/5	5/5	N/A	N/A	N/A	N/A	N/A	N/A
220221	5/5 WL2	5/5	N/A	N/A	N/A	N/A	N/A	N/A
220223	5/5 WL2	5/5 WL1	N/A	N/A	N/A	N/A	N/A	N/A
220224	5/5 WL4	5/5 WL3	N/A	N/A	N/A	N/A	N/A	N/A
220225	5/5 WL7	5/5 WL3	N/A	N/A	N/A	N/A	N/A	N/A
220226	5/5 WL12	5/5 WL8	N/A	N/A	N/A	N/A	N/A	N/A
220227	5/5 WL14	5/5 WL8	N/A	N/A	N/A	N/A	N/A	N/A
220301	5/5 WL14	5/5 WL9	N/A	N/A	N/A	N/A	N/A	N/A
220302	5/5 WL13	5/5 WL10	N/A	N/A	N/A	N/A	N/A	N/A
220304	5/5 WL12	5/5 WL10	N/A	N/A	N/A	N/A	N/A	N/A
220314	5/5 WL11	5/5 WL10	N/A	N/A	N/A	N/A	N/A	N/A
220316	8/8 WL3	8/8 WL1	5/0	6/0	N/A	N/A	N/A	N/A
220317	8/8 WL3	8/8 WL1	5/8	6/8	N/A	N/A	N/A	N/A
220321	9/11 WL4	9/11 WL2	11/11 WL1	11/11	N/A	N/A	N/A	N/A
220323	15/11 WL4	13/11 WL2	12/11 WL2	12/11 WL2	N/A	N/A	N/A	N/A
220324	18/11 WL3	14/11 WL3	13/11 WL3	11/11 WL2	N/A	N/A	N/A	N/A
220328	22/25	16/25	17/25	14/25	N/A	N/A	N/A	N/A
220328	25/25	16/25	20/25	15/25	N/A	N/A	N/A	N/A
220330	24/25 WL2	17/25	21/25	18/25	N/A	N/A	N/A	N/A
220331	25/25 WL1	18/25	21/25	18/25	N/A	N/A	N/A	N/A
220404	25/26 WL1	21/26	20/25	23/25	N/A	N/A	N/A	N/A
220405	26/26	21/26	20/25	23/25	N/A	N/A	N/A	N/A
220406	26/26	22/26	20/25	22/25	N/A	N/A	N/A	N/A
220407	25/26	23/26	20/25	22/25	N/A	N/A	N/A	N/A
220408	26/26	23/26	20/25	22/25	N/A	N/A	N/A	N/A
220410	26/26	24/26	20/25	22/25	N/A	N/A	N/A	N/A
220417	26/26	23/26	19/25	20/25	N/A	N/A	N/A	N/A
220625	0/0 WL1	0/0	N/A	N/A	0/0	0/0	0/0 WL1	0/0
