DATE	A01	A02	A03
220204	0/40	0/40	0/40
220213	1/40	1/40	0/40
220214	2/40	1/40	0/40
220215	6/40	2/40	0/40
220216	7/40	2/40	0/40
220216	11/40	2/40	0/40
220217	12/40	2/40	0/40
220218	18/40	2/40	0/40
220221	19/40	2/40	0/40
220221	28/40	2/40	0/40
220222	29/40	2/40	0/40
220223	32/40	2/40	0/40
220224	34/40	3/40	0/40
220225	40/40 WL1	13/40	0/40
220226	40/40 WL1	31/40	0/40
220227	40/40	32/40	0/40
220228	40/40	33/40	0/40
220301	40/40	34/40	N/A
220302	40/40	36/40	N/A
220303	40/40	38/40	N/A
220304	39/40	39/40	N/A
220305	40/40	40/40	N/A
220308	40/40 WL1	39/40	N/A
220309	40/40 WL1	40/40	N/A
220311	40/40 WL1	40/40 WL1	N/A
220312	40/40 WL2	40/40 WL1	N/A
220316	40/40 WL3	40/40 WL2	N/A
220321	39/40 WL4	40/40	N/A
220323	40/40 WL3	39/40	N/A
220324	40/40 WL2	40/40	N/A
220328	40/40 WL4	40/40 WL3	N/A
220328	40/40 WL5	40/40 WL4	N/A
220330	39/40 WL6	38/40 WL6	N/A
220331	40/40 WL5	39/40 WL3	N/A
