DATE	A01	A02	A03	A04	A05	A06	B01
220204	0/5	0/5	0/5	0/5	N/A	N/A	0/10
220212	0/5	1/5	1/5	0/5	N/A	N/A	0/10
220213	1/5	5/5	1/5	0/5	N/A	N/A	1/10
220214	1/5	5/5	2/5	0/5	N/A	N/A	1/10
220215	2/5	5/5	5/5	1/5	N/A	N/A	2/10
220216	5/5	5/5	5/5	5/5	N/A	N/A	5/10
220216	5/5	5/5	5/5	5/5	N/A	N/A	10/10
220221	5/5 WL1	5/5	5/5	5/5	N/A	N/A	10/10
220223	4/5 WL2	5/5 WL1	5/5	5/5 WL1	N/A	N/A	10/10
220224	5/5 WL1	5/5 WL1	5/5	5/5 WL1	N/A	N/A	10/10 WL2
220225	5/5 WL3	5/5 WL2	5/5 WL2	5/5 WL2	N/A	N/A	10/10 WL2
220226	5/5 WL3	5/5 WL4	5/5 WL5	5/5 WL6	N/A	N/A	10/10 WL4
220227	5/5 WL4	5/5 WL4	5/5 WL5	5/5 WL6	N/A	N/A	10/10 WL4
220301	5/5 WL5	5/5 WL4	5/5 WL5	5/5 WL6	N/A	N/A	10/10 WL4
220302	5/5 WL5	5/5 WL4	5/5 WL5	5/5 WL5	N/A	N/A	10/10 WL5
220303	5/5 WL5	5/5 WL4	5/5 WL5	5/5 WL5	N/A	N/A	10/10 WL6
220306	5/5 WL5	5/5 WL4	5/5 WL5	5/5 WL4	N/A	N/A	10/10 WL6
220307	5/5 WL4	5/5 WL4	5/5 WL5	5/5 WL4	N/A	N/A	10/10 WL6
220308	5/5 WL4	5/5 WL4	5/5 WL5	5/5 WL4	0/5	2/5	10/10 WL6
220309	5/5 WL4	5/5 WL4	5/5 WL5	5/5 WL4	2/5	4/5	10/10 WL4
220310	5/5 WL4	5/5 WL4	4/5 WL4	5/5 WL4	3/5	5/5	10/10 WL3
220311	5/5 WL4	5/5 WL3	5/5 WL2	5/5 WL3	4/5	5/5	10/10 WL3
220312	5/5 WL4	5/5 WL3	5/5 WL2	5/5 WL3	5/5	5/5	10/10 WL3
220314	5/5 WL4	5/5 WL3	5/5 WL2	5/5 WL2	5/5	5/5 WL1	10/10 WL3
220316	5/5 WL4	5/5 WL3	5/5 WL1	5/5 WL2	5/5 WL1	5/5 WL1	10/10 WL3
