DATE	A01	A02	A03
220204	0/40	0/40	N/A
220212	1/40	0/40	N/A
220213	11/40	3/40	N/A
220214	11/40	4/40	N/A
220215	40/40	13/40	N/A
220216	40/40	32/40	N/A
220216	40/40	38/40	N/A
220217	40/40	39/40	N/A
220218	40/40	40/40	N/A
220221	40/40 WL2	40/40 WL1	N/A
220223	40/40 WL9	40/40 WL7	N/A
220224	40/40 WL10	40/40 WL12	N/A
220225	40/40 WL11	40/40 WL13	N/A
220227	40/40 WL11	40/40 WL14	N/A
220314	40/40 WL11	40/40 WL13	N/A
220321	40/40 WL5	40/40 WL6	14/40
220323	40/40 WL4	40/40 WL6	18/40
220324	40/40 WL4	40/40 WL7	18/40
220328	39/40	39/40 WL6	22/40
220328	40/40	39/40 WL6	22/40
220330	40/40	38/40 WL4	24/40
220331	40/40	40/40 WL1	24/40
220405	39/40	40/40 WL1	24/40
220406	39/40	40/40	26/40
220407	40/40	39/40	26/40
