DATE	A01	A02	A03	A04	A05
220204	0/42	0/42	0/42	0/42	0/42
220212	1/42	0/42	0/42	0/42	0/42
220213	2/42	8/42	4/42	1/42	3/42
220215	4/42	8/42	4/42	1/42	4/42
220216	4/42	23/42	7/42	3/42	4/42
220216	7/42	30/42	9/42	6/42	4/42
220217	8/42	35/42	9/42	8/42	4/42
220218	17/42	42/42	38/42	24/42	7/42
220219	18/42	42/42	39/42	26/42	7/42
220221	18/42	42/42	40/42	27/42	7/42
220223	19/42	42/42	42/42	29/42	7/42
220224	19/42	42/42	42/42 WL1	30/42	8/42
220225	20/42	42/42	42/42 WL1	42/42 WL1	9/42
220226	23/42	42/42 WL1	42/42 WL3	42/42 WL1	23/42
220227	23/42	42/42 WL1	42/42 WL3	42/42 WL2	23/42
220228	23/42	42/42 WL1	42/42 WL3	42/42 WL2	24/42
220301	23/42	42/42 WL1	42/42 WL3	42/42 WL2	25/42
220302	23/42	42/42 WL1	42/42 WL3	42/42 WL2	26/42
