DATE	A01	A02	B01	B02
220204	0/35	0/35	0/35	0/35
220213	2/35	0/35	4/35	0/35
220214	2/35	0/35	7/35	1/35
220215	10/35	0/35	13/35	1/35
220216	14/35	0/35	22/35	5/35
220216	19/35	0/35	30/35	6/35
220217	19/35	0/35	29/35	6/35
220218	21/35	0/35	30/35	6/35
220221	27/35	0/35	34/35	8/35
220222	28/35	0/35	34/35	8/35
220223	35/35	3/35	34/35 WL2	29/35
220224	35/35 WL1	21/35	35/35 WL6	35/35 WL6
220225	35/35 WL4	35/35 WL3	35/35 WL8	35/35 WL9
220226	35/35 WL4	35/35 WL3	35/35 WL9	35/35 WL9
220228	35/35 WL5	35/35 WL4	35/35 WL9	35/35 WL8
220301	35/35 WL6	35/35 WL3	35/35 WL8	35/35 WL8
220302	35/35 WL6	35/35 WL3	35/35 WL7	35/35 WL10
