DATE	A01	A02	B01	B02
220204	0/42	N/A	0/42	0/42
220212	3/42	N/A	0/42	0/42
220213	7/42	N/A	1/42	1/42
220214	8/42	N/A	4/42	2/42
220215	39/42	N/A	15/42	12/42
220216	42/42	N/A	29/42	33/42
220216	42/42	N/A	32/42	37/42
220217	42/42	N/A	33/42	38/42
220218	42/42	N/A	34/42	38/42
220221	42/42	N/A	35/42	39/42
220221	42/42 WL3	N/A	38/42	41/42
220222	42/42 WL3	N/A	38/42	42/42
220223	40/42 WL9	N/A	42/42 WL3	41/42 WL4
220224	42/42 WL7	N/A	42/42 WL4	42/42 WL4
220225	42/42 WL10	N/A	42/42 WL3	42/42 WL5
220226	42/42 WL11	N/A	42/42 WL3	42/42 WL5
220227	42/42 WL10	N/A	42/42 WL4	42/42 WL5
220228	42/42 WL11	N/A	42/42 WL4	42/42 WL5
220301	42/42 WL11	N/A	42/42 WL3	42/42 WL5
220305	42/42 WL11	N/A	42/42 WL2	42/42 WL4
220306	42/42 WL10	N/A	42/42 WL2	42/42 WL4
220308	42/42 WL10	N/A	42/42 WL3	42/42 WL4
220309	42/42 WL9	N/A	42/42 WL4	42/42 WL4
220311	42/42 WL9	N/A	42/42 WL3	42/42 WL4
220312	42/42 WL9	N/A	42/42 WL4	42/42 WL4
220314	42/42 WL8	N/A	42/42 WL3	42/42 WL3
220316	42/42 WL9	N/A	42/42 WL3	42/42 WL3
220317	42/42 WL9	N/A	42/42 WL4	42/42 WL3
220321	42/42 WL9	N/A	42/42 WL2	42/42 WL5
220324	42/42 WL8	N/A	42/42 WL3	42/42 WL5
220328	42/42 WL7	N/A	42/42 WL1	42/42 WL4
220328	42/42 WL7	N/A	42/42	41/42 WL4
220330	41/42 WL4	N/A	40/0 WL1	42/0 WL2
220331	41/0 WL2	N/A	39/0 WL1	42/0 WL2
220404	40/0 WL1	N/A	40/0	42/0
220823	42/42 WL3	42/42 WL1	42/42 WL8	N/A
