DATE	A00	B00	C00
220204	0/150	0/150	N/A
220206	0/100	0/100	N/A
220212	4/100	1/100	N/A
220213	10/100	2/100	N/A
220214	12/100	3/100	N/A
220215	21/100	15/100	N/A
220216	31/100	27/100	N/A
220216	39/100	35/100	N/A
220217	40/100	37/100	N/A
220218	45/100	35/100	N/A
220219	46/100	35/100	N/A
220221	48/100	42/100	N/A
220222	52/100	42/100	N/A
220223	74/100	58/100	N/A
220224	87/100	74/100	N/A
220225	100/100 WL9	100/100 WL3	N/A
220226	100/100 WL9	100/100 WL7	N/A
220227	100/100 WL10	100/100 WL9	N/A
220301	100/100 WL11	100/100 WL8	N/A
220302	100/100 WL10	100/100 WL9	N/A
220305	100/100 WL11	100/100 WL9	N/A
220307	100/100 WL11	99/100 WL9	N/A
220308	100/100 WL11	100/100 WL9	N/A
220309	100/100 WL13	100/100 WL9	N/A
220310	100/100 WL12	100/100 WL9	N/A
220311	100/100 WL13	100/100 WL8	N/A
220312	100/100 WL13	100/100 WL9	N/A
220316	100/100 WL13	99/100 WL9	N/A
220317	100/100 WL13	100/100 WL9	N/A
220323	100/100 WL12	100/100 WL10	N/A
220328	99/100 WL10	100/100 WL9	N/A
220328	99/100 WL12	99/100 WL16	N/A
220330	98/100 WL12	100/100 WL14	N/A
220331	112/112	100/100 WL13	N/A
220404	111/112	100/100 WL11	N/A
220405	112/112 WL1	100/100 WL8	N/A
220406	112/112	100/100 WL8	N/A
220407	112/112 WL1	100/100 WL7	N/A
220408	111/112 WL1	100/100 WL6	N/A
220417	108/112 WL1	101/100 WL6	N/A
220417	48/150	N/A	N/A
220823	58/120	120/120 WL2	103/120
