DATE	A01	A02	A03
220204	0/34	0/33	0/33
220213	1/34	1/33	0/33
220214	3/34	1/33	0/33
220215	6/34	1/33	0/33
220216	24/34	5/33	1/33
220216	34/34	21/33	2/33
220217	34/34	28/33	2/33
220218	34/34	30/33	3/33
220221	34/34	32/33	3/33
220222	34/34	33/33	3/33
220223	34/34	33/33	5/33
220224	34/34	33/33	6/33
220225	34/34	33/33	10/33
220226	34/34 WL1	33/33	12/33
220228	33/34 WL1	33/33	12/33
220301	34/34	33/33	12/33
220303	34/34	33/33	13/33
220317	34/34	33/33	14/33
220323	34/34	33/33	15/33
220328	33/34 WL1	31/33	16/33
220328	33/34 WL1	32/33	15/33
220330	34/34	33/33	13/33
220404	34/34	33/33 WL1	15/33
220405	34/34 WL1	33/33 WL1	15/33
