DATE	A01	A02	A03	A04	A05	A06	A07
220204	0/0	0/0	0/30	0/30	0/30	0/30	0/0
220212	0/0	0/0	1/30	0/30	1/30	1/30	0/0
220213	0/0	0/0	8/30	0/30	1/30	3/30	0/0
220215	0/0	0/0	10/30	0/30	2/30	4/30	0/0
220216	0/0	0/0	12/30	1/30	3/30	4/30	0/0
220216	0/0	0/0	13/30	1/30	5/30	6/30	0/0
220217	0/0	0/0	14/30	1/30	5/30	6/30	0/0
220218	0/0	0/0	22/30	7/30	6/30	10/30	0/0
220219	0/0	0/0	22/30	8/30	6/30	10/30	0/0
220221	0/0	0/0	23/30	8/30	6/30	10/30	0/0
220221	0/0	0/0	24/30	10/30	8/30	11/30	0/0
220222	0/0	0/0	25/30	11/30	8/30	11/30	0/0
220223	0/0	0/0	30/30	17/30	8/30	12/30	0/0
220224	0/0	0/0	30/30 WL1	19/30	9/30	16/30	0/0
220225	0/0	0/0	30/25 WL1	25/25	16/25	18/25	0/0
