DATE	A01	A02
220204	0/20	0/20
220212	1/20	1/20
220213	2/20	6/20
220215	3/20	7/20
220216	6/20	12/20
220216	13/20	17/20
220217	13/20	18/20
220218	20/20	20/20
220223	20/20 WL2	20/20 WL2
220224	20/20 WL2	20/20 WL3
220225	19/20 WL4	20/20 WL3
220226	20/20 WL6	20/20 WL4
220228	20/20 WL6	20/20 WL3
220302	20/20 WL6	20/20 WL4
220303	20/20 WL6	20/20 WL5
220308	20/20 WL6	20/20 WL6
220316	20/20 WL6	20/20 WL5
220317	20/20 WL6	20/20 WL4
220321	20/20 WL7	20/20 WL4
220328	20/20 WL6	20/20 WL4
220330	20/20 WL7	20/20 WL5
