DATE	A00	B00	C00
220204	0/100	0/100	0/30
220212	1/100	0/100	1/30
220213	1/100	2/100	1/30
220214	3/100	2/100	1/30
220215	3/100	2/100	2/30
220216	5/100	2/100	2/30
220216	7/100	4/100	3/30
220217	8/100	4/100	3/30
220218	10/100	4/100	3/30
220219	11/100	4/100	4/30
220220	12/100	4/100	4/30
220221	12/100	4/100	5/30
220223	13/100	4/100	5/30
220224	14/100	4/100	5/30
220225	17/100	7/100	6/30
220301	18/100	7/100	6/30
220302	18/100	8/100	6/30
220303	19/100	9/100	7/30
220304	19/100	10/100	7/30
220308	18/100	10/100	6/30
220309	20/100	11/100	7/30
220310	20/100	12/100	8/30
220311	22/100	14/100	9/30
220312	23/100	14/100	10/30
220316	23/100	16/100	9/30
220317	24/100	17/100	10/30
220321	26/100	17/100	10/30
220323	27/100	17/100	10/30
220324	27/100	18/100	10/30
