DATE	A01	A02	B01	B02
220204	0/35	0/35	0/35	0/35
220212	0/35	0/35	0/35	1/35
220213	6/35	2/35	0/35	3/35
220214	8/35	3/35	0/35	3/35
220215	18/35	6/35	4/35	5/35
220216	29/35	6/35	8/35	6/35
220216	35/35	7/35	8/35	7/35
220217	35/35	7/35	8/35	9/35
220218	35/35	9/35	8/35	8/35
220221	35/35	12/35	8/35	8/35
220222	34/35	14/35	9/35	8/35
220223	35/35	22/35	13/35	11/35
220224	35/35	26/35	14/35	12/35
220225	35/35	28/35	15/35	12/35
220226	35/35	29/35	15/35	12/35
220228	35/35	30/35	15/35	12/35
220301	33/35	31/35	16/35	12/35
220302	34/35	31/35	16/35	12/35
220303	33/35	31/35	16/35	12/35
220308	33/35	30/35	16/35	12/35
220309	34/35	30/35	16/35	12/35
