DATE	A01	A02	A03	A04	A05	A06	B01
220204	0/45	0/45	0/45	0/45	N/A	N/A	0/10
220212	2/45	0/45	0/45	1/45	N/A	N/A	2/10
220213	3/45	3/45	0/45	3/45	N/A	N/A	5/10
220214	5/45	3/45	0/45	3/45	N/A	N/A	5/10
220215	13/45	3/45	0/45	3/45	N/A	N/A	6/10
220216	26/45	15/45	7/45	7/45	N/A	N/A	10/10
220216	45/45	41/45	23/45	14/45	N/A	N/A	10/10
220217	45/45	45/45	38/45	15/45	N/A	N/A	10/10
220218	45/45	45/45	45/45	45/45	N/A	N/A	10/10
220221	45/45 WL1	45/45 WL1	45/45 WL1	45/45 WL1	N/A	N/A	10/10 WL1
220222	45/45 WL1	45/45 WL1	45/45 WL2	45/45 WL1	N/A	N/A	10/10 WL1
220223	45/45 WL4	45/45 WL7	45/45 WL5	45/45 WL5	N/A	N/A	10/10 WL2
220224	45/45 WL9	45/45 WL10	45/45 WL8	45/45 WL9	N/A	N/A	10/10 WL4
220225	45/45 WL14	45/45 WL14	45/45 WL14	45/45 WL13	N/A	N/A	10/10 WL6
220226	45/45 WL21	45/45 WL22	45/45 WL19	45/45 WL21	N/A	N/A	10/10 WL10
220227	45/45 WL21	45/45 WL22	45/45 WL19	45/45 WL23	N/A	N/A	10/10 WL10
220228	45/45 WL22	45/45 WL22	45/45 WL20	45/45 WL23	N/A	N/A	10/10 WL10
220301	45/45 WL21	45/45 WL22	45/45 WL20	45/45 WL23	N/A	N/A	10/10 WL9
220302	45/45 WL21	45/45 WL22	45/45 WL20	45/45 WL22	N/A	N/A	10/10 WL9
220303	45/45 WL21	44/45 WL22	45/45 WL20	45/45 WL21	N/A	N/A	10/10 WL9
220304	45/45 WL21	45/45 WL21	45/45 WL20	45/45 WL21	N/A	N/A	10/10 WL9
220305	45/45 WL21	45/45 WL21	45/45 WL19	45/45 WL21	N/A	N/A	10/10 WL9
220308	45/45 WL21	45/45 WL21	45/45 WL18	45/45 WL19	6/0	0/0	10/10 WL9
220309	44/45 WL13	45/45 WL20	45/45 WL10	45/45 WL11	21/45	10/45	10/10 WL9
220310	45/45 WL11	45/45 WL17	45/45 WL10	45/45 WL11	29/45	11/45	10/10 WL9
220311	45/45 WL11	45/45 WL16	45/45 WL9	45/45 WL10	36/45	18/45	10/10 WL7
220312	45/45 WL11	45/45 WL15	44/45 WL9	44/45 WL9	39/45	19/45	10/10 WL7
220314	45/45 WL10	45/45 WL14	45/45 WL6	44/45 WL7	43/45	24/45	10/10 WL7
220316	45/45 WL9	45/45 WL12	44/45 WL5	45/45 WL6	45/45	31/45	10/10 WL6
