DATE	A01	A02	A03
220204	0/41	0/41	0/41
220213	1/41	0/41	0/41
220215	2/41	0/41	0/41
220216	5/41	1/41	1/41
220216	8/41	3/41	2/41
220221	11/41	3/41	2/41
220222	12/41	3/41	2/41
220223	16/41	6/41	4/41
220224	26/41	12/41	4/41
220225	41/41 WL1	17/41	5/41
220226	41/41 WL1	19/41	5/41
220227	41/41	21/41	5/41
220301	41/41	24/41	5/41
220308	40/41	25/41	5/41
220324	41/41	25/41	4/0
220328	41/41	29/41	N/A
220328	41/41	33/41	N/A
220330	41/41	35/41	N/A
220331	41/41	37/41	N/A
220404	41/41	39/41	N/A
220405	41/41	38/41	N/A
220406	41/41	37/41	N/A
220407	41/41	36/41	N/A
