DATE	A01	A02	A03	A04	A05	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11
220204	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32	0/32
220212	1/32	1/32	1/32	2/32	1/32	0/32	0/32	2/32	0/32	0/32	1/32	0/32	0/32	0/32	4/32	0/32
220213	3/32	1/32	4/32	5/32	1/32	0/32	0/32	3/32	0/32	1/32	1/32	0/32	1/32	0/32	6/32	1/32
220214	4/32	2/32	4/32	6/32	1/32	0/32	0/32	3/32	0/32	1/32	1/32	0/32	1/32	0/32	8/32	1/32
220215	23/32	4/32	5/32	10/32	3/32	2/32	0/32	10/32	0/32	0/32	4/32	1/32	1/32	0/32	19/32	4/32
220216	32/32	22/32	20/32	29/32	3/32	3/32	3/32	29/32	0/32	4/32	9/32	3/32	2/32	1/32	30/32	7/32
220216	32/32	29/32	26/32	31/32	5/32	5/32	4/32	32/32	3/32	5/32	16/32	5/32	5/32	2/32	32/32	15/32
220217	32/32	29/32	26/32	31/32	5/32	6/32	4/32	32/32	3/32	5/32	17/32	5/32	5/32	3/32	32/32	16/32
220218	32/32	29/32	27/32	32/32	5/32	6/32	3/32	32/32	3/32	5/32	17/32	5/32	5/32	3/32	32/32	18/32
220221	32/32	30/32	28/32	32/32 WL1	9/32	8/32	5/32	32/32	4/32	7/32	18/32	5/32	5/32	3/32	32/32	18/32
220222	32/32	31/32	29/32	32/32 WL1	11/32	8/32	5/32	32/32	4/32	7/32	18/32	5/32	5/32	3/32	32/32 WL1	18/32
220223	32/32 WL1	32/32 WL2	32/32	31/32 WL1	32/32 WL1	9/32	9/32	30/32	4/32	8/32	23/32	6/32	7/32	3/32	32/32 WL2	28/32
220224	32/32 WL3	32/32 WL3	32/32 WL2	32/32 WL3	31/32 WL2	11/32	11/32	32/32	4/32	9/32	24/32	8/32	10/32	3/32	32/32 WL1	32/32
220225	32/32 WL3	32/32 WL3	32/32 WL3	32/32 WL3	32/32 WL2	12/32	14/32	32/32	5/32	11/32	30/32	8/32	11/32	4/32	32/32 WL1	31/32
220226	32/32 WL3	32/32 WL3	32/32 WL3	32/32 WL3	32/32 WL2	12/32	14/32	32/32	6/32	11/32	31/32	8/32	13/32	4/32	32/32 WL1	31/32
220227	32/32 WL3	32/32 WL4	32/32 WL3	32/32 WL2	32/32 WL3	12/32	14/32	32/32	6/32	11/32	31/32	8/32	13/32	5/32	32/32 WL1	32/32
220228	32/32 WL4	32/32 WL4	32/32 WL3	32/32 WL2	32/32 WL3	12/32	14/32	32/32	6/32	11/32	31/32	8/32	13/32	5/32	32/32 WL2	32/32
220301	32/32 WL4	32/32 WL4	32/32 WL3	32/32 WL2	32/32 WL2	13/32	14/32	32/32	6/32	12/32	31/32	8/32	12/32	6/32	32/32 WL2	32/32
220303	32/32 WL4	32/32 WL4	32/32 WL3	32/32 WL2	32/32 WL2	13/32	14/32	32/32	6/32	12/32	32/32	8/32	12/32	6/32	32/32 WL2	32/32
220304	32/32 WL4	32/32 WL4	32/32 WL3	32/32 WL3	32/32 WL2	13/32	14/32	32/32	6/29	12/32	32/32	8/29	12/32	6/29	32/32 WL2	32/32
220305	32/32 WL4	32/32 WL4	32/32 WL3	32/32 WL3	32/32 WL2	13/32	14/32	32/32	4/29	12/32	32/32	10/29	12/32	6/29	32/32 WL2	32/32
220306	32/32 WL4	32/32 WL4	32/32 WL3	32/32 WL3	32/32 WL2	13/32	14/32	32/32	4/29	12/32	32/32	11/29	12/32	6/29	32/32 WL2	32/32
220307	32/32 WL4	32/32 WL4	32/32 WL4	32/32 WL3	32/32 WL3	13/32	14/32	32/32	4/29	12/32	32/32	11/29	13/32	6/29	32/32 WL2	32/32
220308	32/32 WL4	32/32 WL4	32/32 WL4	32/32 WL3	32/32 WL3	13/32	14/32	32/32	4/29	12/32	31/32	11/29	13/32	6/29	32/32 WL2	32/32
220309	32/32 WL4	32/32 WL4	32/32 WL5	32/32 WL3	32/32 WL3	13/32	14/32	32/32	4/29	12/32	31/32	11/29	13/32	6/29	32/32 WL2	32/32
