DATE	A01	A02	B01	B02
220204	0/10	0/10	0/10	0/10
220213	1/10	0/10	1/10	0/10
220214	1/10	0/10	1/10	1/10
220215	2/10	2/10	2/10	4/10
220216	2/10	2/10	1/10	4/10
220216	2/10	3/10	2/10	4/10
220217	3/10	3/10	2/10	4/10
220218	3/10	3/10	2/10	6/10
220221	3/10	3/10	2/10	7/10
220222	4/10	3/10	2/10	8/10
220223	4/10	4/10	3/10	9/10
220224	4/10	4/10	4/10	9/10
220225	5/10	4/10	4/10	10/10
220226	7/10	5/10	6/10	10/10
220301	8/10	5/10	6/10	9/10
220304	8/10	5/10	7/10	9/10
220323	7/10	5/10	8/10	10/10
220328	7/10	5/10	9/10	8/10
220328	7/10	5/10	10/10	10/10
220330	6/10	5/10	10/10	10/10
220331	5/10	6/10	10/10	10/10
220404	6/10	5/10	10/10 WL1	9/10
220405	6/10	5/10	11/11	10/10
