DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029
220212	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220216	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
220217	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
220219	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
220222	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
220223	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
220224	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0
220228	1	0	2	0	0	0	0	0	2	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0
220301	1	0	3	0	0	0	0	0	2	0	0	1	1	0	2	1	0	1	1	0	0	0	0	0	0	1	0	0	0
220302	1	0	3	1	0	0	0	0	3	0	0	2	1	0	3	1	0	2	2	0	0	0	0	0	0	1	0	0	0
220305	1	0	3	1	0	0	0	0	3	0	0	2	1	0	3	1	0	2	3	0	0	0	0	0	0	1	0	0	0
220306	1	0	3	1	0	0	0	0	3	0	0	3	1	0	3	1	0	2	3	0	0	0	0	0	0	1	0	0	0
220309	1	0	3	1	0	0	0	0	3	0	0	3	1	0	4	1	1	2	3	0	0	0	0	0	1	1	0	0	0
220310	1	0	3	1	1	0	0	0	3	0	0	3	1	0	4	1	1	2	3	0	0	0	0	0	1	1	0	0	0
220312	1	1	3	1	1	0	0	0	3	0	0	3	1	0	4	1	1	2	3	0	0	0	0	0	1	1	0	0	0
220316	1	1	4	1	1	0	0	0	3	0	0	3	1	0	4	1	1	2	3	0	0	0	0	0	1	1	0	0	1
220317	1	1	4	1	2	0	0	0	3	0	0	3	1	0	5	1	1	3	3	0	0	0	0	0	1	1	0	0	1
220321	1	1	4	1	2	0	0	0	3	0	0	3	1	0	5	1	1	3	3	1	0	0	0	0	1	2	0	0	1
220323	1	1	4	1	2	0	0	0	3	0	0	3	1	0	5	0	1	3	3	1	0	0	0	0	1	2	0	0	1
220328	1	1	4	1	2	0	0	0	3	0	0	3	1	0	5	N/A	1	3	3	1	0	0	0	0	1	2	0	0	2
220330	1	1	4	1	2	0	0	0	3	0	0	3	1	0	6	N/A	1	3	3	1	0	0	0	0	2	2	0	0	2
220408	1	1	4	2	2	0	0	0	3	0	0	3	1	0	6	N/A	1	3	3	1	0	0	0	0	2	2	0	0	2
