DATE	A01	A02	A03
220204	0/30	0/30	0/30
220212	2/30	0/30	1/30
220213	3/30	0/30	1/30
220214	4/30	0/30	1/30
220215	6/30	0/30	4/30
220216	7/30	1/30	5/30
220216	9/30	4/30	9/30
220218	10/30	6/30	11/30
220221	9/30	7/30	12/30
220222	9/30	7/30	14/30
220223	14/30	12/30	17/30
220224	17/30	13/30	18/30
220225	23/30	13/30	22/30
220226	23/30	13/30	23/30
220227	23/30	13/30	24/30
220301	24/30	14/30	24/30
220303	24/30	16/30	25/30
220306	24/30	17/30	26/30
220308	25/30	16/30	26/30
220311	23/30	16/30	27/30
220314	23/30	16/30	25/30
220317	24/30	16/30	25/30
220321	24/30	16/30	27/30
