DATE	A01	A02	A03
220204	0/35	0/35	N/A
220212	1/35	1/35	N/A
220213	14/35	1/35	N/A
220214	19/35	1/35	N/A
220215	35/35	20/35	N/A
220216	35/35	35/35	N/A
220221	35/35	34/35	N/A
220221	35/35 WL2	35/35 WL2	N/A
220222	35/35 WL3	35/35 WL2	N/A
220223	35/35 WL16	34/35 WL15	N/A
220224	35/35 WL20	35/35 WL19	N/A
220225	35/35 WL21	35/35 WL21	N/A
220226	35/35 WL25	35/35 WL22	N/A
220301	35/35 WL26	35/35 WL22	N/A
220302	35/35 WL26	35/35 WL21	N/A
220303	35/35 WL27	35/35 WL21	N/A
220304	35/35 WL28	34/35 WL20	N/A
220305	35/35 WL28	35/35 WL19	N/A
220306	35/35 WL27	35/35 WL18	N/A
220307	35/35 WL26	35/35 WL19	N/A
220308	35/35 WL24	35/35 WL16	N/A
220310	35/35 WL23	35/35 WL16	N/A
220311	35/35 WL21	35/35 WL16	N/A
220312	35/35 WL20	35/35 WL16	N/A
220314	34/35 WL20	35/35 WL16	N/A
220316	35/35 WL21	35/35 WL17	N/A
220317	35/35 WL21	35/35 WL16	N/A
220328	35/35 WL8	35/35 WL5	18/0 WL5
220328	35/35 WL8	35/35 WL6	18/0 WL8
220330	35/35 WL6	34/35 WL6	29/34 WL6
220331	35/35 WL6	33/35 WL2	35/34 WL1
220404	36/36	36/36 WL1	36/36
220405	36/36	35/36	36/36
