DATE	A00	B00	C00	D00
220204	0/5	0/5	0/5	N/A
220212	5/5	5/5	5/5	N/A
220221	5/5 WL1	5/5	5/5	N/A
220221	5/5 WL1	5/5	5/5 WL1	N/A
220223	5/5 WL1	5/5 WL1	5/5 WL1	N/A
220308	5/5 WL2	5/5 WL1	5/5 WL1	N/A
220309	5/5 WL2	5/5 WL1	5/5	N/A
220314	5/5 WL2	5/5 WL2	5/5 WL1	N/A
220316	5/5 WL2	5/5 WL1	5/5 WL1	N/A
220321	5/5 WL2	5/5 WL1	5/5	N/A
220328	5/5 WL1	5/5 WL1	5/5	N/A
220330	5/5	5/5 WL2	5/5 WL1	N/A
220404	5/5 WL1	5/5 WL1	3/5	N/A
220405	4/5 WL1	5/5 WL1	3/5	N/A
220406	5/5	5/5 WL1	4/5	N/A
220407	5/5	5/5 WL1	5/5	N/A
220408	5/5	4/5	4/5	N/A
220823	3/5	1/5	5/5 WL1	2/5
