DATE	A01	A02	A03
220204	0/60	0/60	0/60
220214	1/60	0/60	0/60
220215	3/60	2/60	0/60
220216	7/60	2/60	0/60
220216	11/60	3/60	0/60
220217	16/60	4/60	0/60
220218	18/60	4/60	0/60
220221	19/60	4/60	0/60
220221	24/60	6/60	0/60
220222	27/60	7/60	1/60
220223	60/60 WL1	16/60	7/60
220224	60/60 WL2	30/60	9/60
220225	60/60 WL4	60/60	18/60
220226	60/60 WL5	60/60 WL1	21/60
220227	60/60 WL5	60/60 WL1	25/60
220228	60/60 WL5	60/60 WL2	27/60
220301	60/60 WL4	60/60 WL2	28/60
220302	60/60 WL4	59/60 WL3	28/60
220303	60/60 WL4	60/60 WL2	32/60
220304	60/60 WL5	58/60 WL2	33/60
220305	60/60 WL5	60/60	33/60
220307	60/60 WL4	60/60	33/60
220308	60/60 WL4	60/60	32/60
220309	60/60 WL4	60/60	31/60
220311	60/60 WL4	59/60	31/60
220312	60/60 WL4	59/60	32/60
220316	60/60 WL4	60/60	35/60
220317	60/60 WL4	59/60	36/60
220321	60/60 WL1	60/60 WL1	36/60
220323	60/60	60/60	38/60
220324	60/60	60/60	39/60
220328	60/60	59/60	44/60
220328	60/60 WL2	60/60	59/60
220330	59/60 WL5	61/60 WL4	59/60 WL5
220331	60/60 WL6	61/60 WL6	59/60 WL6
220404	65/60 WL2	65/60 WL2	65/60 WL2
220405	64/60 WL3	65/60 WL2	64/60 WL2
220406	67/60 WL3	65/60 WL2	65/60 WL2
220407	67/60 WL3	64/60 WL3	66/60 WL2
220408	69/60 WL2	64/60 WL2	66/60 WL2
220410	69/60 WL1	64/60 WL1	67/60 WL2
220412	69/60 WL1	65/60	67/60 WL2
220417	10/30	N/A	N/A
220417	18/30	N/A	N/A
220823	50/75	32/75	N/A
