DATE	A01	A02	A03
220204	0/25	0/25	0/25
220212	0/25	1/25	0/25
220213	1/25	2/25	4/25
220214	1/25	3/25	4/25
220215	3/25	5/25	8/25
220216	6/25	8/25	12/25
220216	7/25	14/25	16/25
220217	7/25	14/25	20/25
220218	7/25	15/25	24/25
220221	8/25	15/25	25/25
220222	8/25	17/25	25/25
220223	8/25	25/25	25/25 WL2
220225	19/25	25/25 WL1	24/25 WL3
220226	19/25	25/25 WL1	25/25 WL2
220301	21/25	25/25	24/25 WL2
220302	20/25	25/25	25/25 WL2
220304	21/25	24/25	25/25 WL2
220305	20/25	25/25	25/25 WL2
220308	20/25	24/25	25/25 WL2
220312	20/25	23/25	25/25 WL2
220317	20/25	25/25	25/25 WL2
220321	20/25	25/25	25/25 WL1
220328	22/25	25/25	25/25 WL1
220330	23/25	25/25	25/25 WL1
