DATE	A00	B00
220204	0/35	0/35
220213	1/35	0/35
220215	13/35	1/35
220216	28/35	2/35
220216	35/35	2/35
220221	35/35 WL2	2/35
220223	35/35 WL6	3/35
220224	35/35 WL11	3/35
220225	35/35 WL15	4/35
220302	35/35 WL16	4/35
220303	35/35 WL17	5/35
220304	35/35 WL17	6/35
220305	35/35 WL16	7/35
220307	35/35 WL15	7/35
220314	35/35 WL14	6/35
220316	35/35 WL14	7/35
220317	35/35 WL14	6/35
220321	35/35 WL13	6/35
220323	35/35 WL13	8/35
220328	35/35 WL13	9/35
220328	35/35 WL14	11/35
220330	35/35 WL12	13/35
220331	35/35 WL11	12/35
220404	35/35 WL9	12/35
220405	35/35 WL8	12/35
