DATE	A00	B00	C00
220204	0/50	0/100	0/40
220212	11/50	100/100	8/40
220213	13/50	100/100	13/40
220214	13/50	100/100	19/40
220215	17/50	100/100	21/40
220216	20/50	100/100	21/40
220216	21/50	100/100	21/40
220218	19/50	100/100	22/40
220220	19/50	100/100	23/40
220221	19/50	100/100 WL6	23/40
220221	19/50	100/100 WL12	23/40
220222	19/50	100/100 WL17	22/40
220223	20/50	100/100 WL26	23/40
220224	20/50	100/100 WL26	24/40
220225	21/50	106/106 WL20	25/40
220226	22/50	105/106 WL20	25/40
220227	22/50	106/106 WL19	25/40
220301	22/50	106/106 WL21	26/40
220302	22/50	105/106 WL21	26/40
220303	22/50	106/106 WL21	26/40
220304	22/50	106/106 WL22	26/40
220307	22/50	106/106 WL21	26/40
220308	22/50	106/106 WL22	25/40
220309	23/50	106/106 WL23	25/40
220311	23/50	106/106 WL24	22/40
220312	23/50	106/106 WL24	22/30
220314	23/50	106/106 WL25	22/30
