DATE	A01	B01
220204	0/100	0/100
220212	1/100	0/100
220213	5/100	0/100
220215	11/100	4/100
220216	35/100	9/100
220216	70/100	16/100
220217	73/100	17/100
220218	77/100	17/100
220219	76/100	17/100
220221	78/100	17/100
220222	79/100	18/100
220223	100/100 WL1	24/100
220224	100/100 WL2	43/100
220225	100/100 WL1	53/100
220226	100/100	54/100
220228	100/100 WL1	55/100
220301	100/100 WL2	71/100
220302	99/100 WL2	79/100
220303	100/100	88/100
220304	100/100	99/100
220305	100/100	100/100
220307	100/100	100/100 WL1
220312	100/115	100/115 WL1
220316	103/115	96/115 WL1
220321	104/115	97/115
220323	103/115	95/115
220324	104/115	94/115
220328	106/115	90/115
220328	107/115	92/115
220330	109/115	92/115
220331	109/115	93/115
220404	109/115	94/115
220408	109/115	93/115
220412	110/115	93/115
