DATE	A01	A02	A03	A04	A05	A07	B01	B02	B03	B04	B06	B08
220204	0/12	N/A	0/12	N/A	0/12	0/12	N/A	0/12	N/A	0/12	0/12	0/12
220212	0/12	N/A	0/12	N/A	0/12	1/12	N/A	0/12	N/A	1/12	0/12	0/12
220213	3/12	N/A	3/12	N/A	3/12	1/12	N/A	1/12	N/A	4/12	0/12	3/12
220214	4/12	N/A	3/12	N/A	3/12	1/12	N/A	1/12	N/A	4/12	0/12	3/12
220215	4/12	N/A	8/12	N/A	4/12	1/12	N/A	2/12	N/A	4/12	0/12	3/12
220216	7/12	N/A	12/12	N/A	4/12	11/12	N/A	4/12	N/A	10/12	0/12	5/12
220216	12/12	N/A	12/12	N/A	12/12	12/12	N/A	12/12	N/A	12/12	10/12	12/12
220217	12/12	N/A	12/12	N/A	12/12	12/12	N/A	12/12	N/A	12/12	12/12	12/12
220218	22/22	N/A	22/22	N/A	22/22	22/22	N/A	20/20	N/A	20/20	20/20	20/20
220219	23/22	N/A	22/22	N/A	22/22	22/22	N/A	20/20	N/A	20/20	20/20	20/20
220221	23/22 WL1	N/A	22/22	N/A	22/22	22/22	N/A	20/20	N/A	20/20 WL1	20/20	20/20
220223	23/22 WL1	N/A	22/22	N/A	22/22	22/22	N/A	19/24	N/A	22/24	19/24	21/24
220224	23/22 WL1	N/A	22/22	N/A	22/22	22/22	N/A	19/24	N/A	23/24	19/24	20/24
220225	24/24 WL4	N/A	24/24 WL1	N/A	24/24 WL6	24/24 WL3	N/A	24/24	N/A	24/24	23/24	24/24
220226	24/24 WL8	N/A	24/24 WL3	N/A	24/24 WL10	24/24 WL3	N/A	24/24 WL3	N/A	24/24 WL2	24/24 WL3	24/24 WL1
220227	24/24 WL8	N/A	24/24 WL3	N/A	24/24 WL10	24/24 WL4	N/A	24/24 WL3	N/A	24/24 WL2	24/24 WL3	24/24 WL1
220228	24/24 WL8	N/A	24/24 WL3	N/A	24/24 WL9	24/24 WL4	N/A	24/24 WL3	N/A	24/24 WL2	24/24 WL3	24/24 WL1
220302	24/24 WL9	N/A	24/24 WL3	N/A	24/24 WL9	24/24 WL5	N/A	24/24 WL3	N/A	24/24 WL2	24/24 WL3	24/24 WL1
220304	24/24 WL9	N/A	24/24 WL3	N/A	24/24 WL10	24/24 WL5	N/A	24/24 WL4	N/A	24/24 WL2	24/24 WL3	24/24 WL1
220306	24/24 WL8	N/A	24/24 WL3	N/A	24/24 WL10	24/24 WL5	N/A	24/24 WL4	N/A	24/24 WL2	24/24 WL4	24/24 WL1
220309	24/24 WL8	N/A	24/24 WL3	N/A	24/24 WL9	24/24 WL5	N/A	24/24 WL4	N/A	24/24 WL2	24/24 WL4	24/24 WL1
220311	24/24 WL8	N/A	24/24 WL4	N/A	24/24 WL9	24/24 WL5	N/A	24/24 WL4	N/A	24/24 WL2	24/24 WL4	24/24 WL1
220312	24/24 WL8	N/A	24/24 WL4	N/A	24/24 WL8	24/24 WL5	N/A	24/24 WL4	N/A	24/24 WL2	24/24 WL4	24/24 WL1
220321	24/24 WL8	N/A	24/24 WL4	N/A	24/24 WL9	24/24 WL5	N/A	24/24 WL4	N/A	24/24 WL2	24/24 WL4	24/24 WL1
220323	24/24 WL7	N/A	24/24 WL5	N/A	24/24 WL9	24/24 WL4	N/A	24/24 WL4	N/A	24/24 WL2	24/24 WL4	24/24 WL1
220324	24/24 WL7	N/A	24/24 WL5	N/A	24/24 WL9	24/24 WL4	N/A	24/24 WL4	N/A	24/24 WL3	24/24 WL4	24/24 WL1
220328	24/24 WL7	N/A	24/24 WL5	N/A	24/24 WL9	24/24 WL4	N/A	24/24 WL4	N/A	24/24 WL2	24/24 WL3	24/24 WL1
220328	24/24 WL7	N/A	24/24 WL4	N/A	24/24 WL9	24/24 WL4	N/A	24/24 WL4	N/A	24/24 WL2	24/24 WL3	24/24 WL2
220330	23/24 WL6	N/A	24/24 WL3	N/A	24/24 WL8	24/24 WL3	N/A	23/24 WL3	N/A	23/24 WL3	24/24 WL4	24/24 WL2
220331	24/24 WL5	N/A	24/24 WL3	N/A	24/24 WL7	24/24 WL2	N/A	24/24 WL2	N/A	24/24 WL1	24/24 WL4	24/24 WL2
220404	24/24 WL4	N/A	24/24 WL2	N/A	24/24 WL5	24/24 WL2	N/A	24/24 WL1	N/A	24/24 WL1	24/24 WL3	24/24 WL1
220405	24/24 WL3	N/A	24/24 WL2	N/A	24/24 WL4	24/24 WL2	N/A	24/24 WL1	N/A	24/24 WL1	24/24 WL3	24/24 WL1
220406	24/24 WL3	N/A	24/24 WL1	N/A	24/24 WL4	24/24 WL2	N/A	24/24 WL1	N/A	24/24 WL1	24/24 WL3	24/24 WL1
220407	24/24 WL3	N/A	24/24	N/A	24/24 WL3	24/24 WL2	N/A	24/24 WL1	N/A	24/24 WL1	24/24 WL2	24/24 WL1
220408	24/24 WL3	N/A	24/24	N/A	24/24 WL3	24/24 WL2	N/A	23/24	N/A	24/24 WL1	24/24	23/24
220410	24/24 WL3	N/A	24/24	N/A	24/24 WL3	24/24 WL1	N/A	23/24	N/A	24/24 WL1	24/24	23/24
220417	24/24 WL3	N/A	24/24	N/A	24/24 WL3	24/24 WL1	N/A	23/24	N/A	24/24 WL1	24/24	22/24
220823	24/24	20/24	22/22	15/24	N/A	N/A	23/24	23/24 WL2	20/24	24/24 WL3	N/A	N/A
