DATE	A01	A02	A03	A04	A05	A06	A07	A08
220204	0/25	0/25	0/25	0/25	N/A	N/A	N/A	N/A
220212	0/25	1/25	0/25	0/25	N/A	N/A	N/A	N/A
220213	0/25	2/25	0/25	0/25	N/A	N/A	N/A	N/A
220214	0/25	2/25	0/25	1/25	N/A	N/A	N/A	N/A
220215	4/25	3/25	2/25	4/25	N/A	N/A	N/A	N/A
220216	7/25	4/25	1/25	8/25	N/A	N/A	N/A	N/A
220216	12/25	10/25	7/25	15/25	N/A	N/A	N/A	N/A
220217	13/25	13/25	7/25	15/25	N/A	N/A	N/A	N/A
220218	25/25	25/25	18/25	25/25	N/A	N/A	N/A	N/A
220219	25/25	25/25	19/25	25/25	N/A	N/A	N/A	N/A
220221	25/25	25/25	21/25	25/25 WL1	N/A	N/A	N/A	N/A
220222	25/25	25/25	24/25	25/25	N/A	N/A	N/A	N/A
220223	24/25 WL2	25/25 WL2	24/25 WL2	25/25 WL3	N/A	N/A	N/A	N/A
220224	25/25 WL2	25/25 WL6	25/25 WL4	25/25 WL6	N/A	N/A	N/A	N/A
220225	25/25 WL7	25/25 WL6	25/25 WL7	25/25 WL8	N/A	N/A	N/A	N/A
220226	25/25 WL8	25/25 WL9	25/25 WL8	25/25 WL10	N/A	N/A	N/A	N/A
220227	25/25 WL8	25/25 WL9	25/25 WL9	25/25 WL10	N/A	N/A	N/A	N/A
220228	25/25 WL9	25/25 WL9	25/25 WL7	25/25 WL10	N/A	N/A	N/A	N/A
220303	25/25 WL8	25/25 WL9	25/25 WL7	25/25 WL10	N/A	N/A	N/A	N/A
220304	25/25 WL8	25/25 WL9	25/25 WL7	25/25 WL11	N/A	N/A	N/A	N/A
220305	25/25 WL7	25/25 WL9	25/25 WL7	25/25 WL11	N/A	N/A	N/A	N/A
220306	25/25 WL7	25/25 WL8	25/25 WL7	25/25 WL11	N/A	N/A	N/A	N/A
220307	25/25 WL7	24/25 WL9	25/25 WL7	25/25 WL11	N/A	N/A	N/A	N/A
220308	25/25 WL7	25/25 WL8	25/25 WL6	25/25 WL11	N/A	N/A	N/A	N/A
220309	25/25 WL7	25/25 WL8	25/25 WL5	25/25 WL11	N/A	N/A	N/A	N/A
220310	25/25 WL7	25/25 WL7	25/25 WL5	25/25 WL11	N/A	N/A	N/A	N/A
220311	25/25 WL7	25/25 WL7	25/25 WL5	24/25 WL11	N/A	N/A	N/A	N/A
220312	25/25 WL6	25/25 WL7	25/25 WL5	25/25 WL9	N/A	N/A	N/A	N/A
220316	25/25 WL6	25/25 WL7	25/25 WL5	25/25 WL10	N/A	N/A	N/A	N/A
220317	24/25 WL6	25/25 WL7	25/25 WL5	25/25 WL9	N/A	N/A	N/A	N/A
220321	25/25 WL5	25/25 WL5	25/25 WL5	25/25 WL9	N/A	N/A	N/A	N/A
220323	25/25 WL5	25/25 WL5	25/25 WL6	25/25 WL7	N/A	N/A	N/A	N/A
220328	25/25 WL4	25/25 WL4	25/25 WL6	25/25 WL7	N/A	N/A	N/A	N/A
220328	25/25 WL4	25/25 WL5	25/25 WL6	25/25 WL8	N/A	N/A	N/A	N/A
220330	23/25 WL6	24/25 WL6	24/25 WL7	25/25 WL10	N/A	N/A	N/A	N/A
220331	25/25 WL3	25/25 WL6	25/25 WL5	24/25 WL8	N/A	N/A	N/A	N/A
220404	25/25 WL2	25/25 WL6	24/25 WL5	25/25 WL6	N/A	N/A	N/A	N/A
220405	24/25 WL1	25/25 WL6	25/25 WL4	25/25 WL5	N/A	N/A	N/A	N/A
220406	25/25	25/25 WL5	25/25 WL3	25/25 WL5	N/A	N/A	N/A	N/A
220407	25/25	25/25 WL5	25/25 WL2	25/25 WL4	N/A	N/A	N/A	N/A
220408	25/25	25/25 WL4	25/25 WL1	25/25 WL1	N/A	N/A	N/A	N/A
220412	25/25	24/25 WL4	25/25 WL1	25/25 WL1	N/A	N/A	N/A	N/A
220417	25/25	23/25 WL4	25/25 WL1	25/25 WL1	N/A	N/A	N/A	N/A
220823	25/25 WL5	25/25 WL5	25/25 WL7	25/25 WL5	25/25 WL6	25/25 WL5	19/25 WL6	20/25 WL6
