DATE	A01	A02	A03
220204	0/32	0/32	N/A
220213	3/32	2/32	N/A
220215	3/32	3/32	N/A
220216	4/32	3/32	N/A
220216	5/32	4/32	N/A
220217	5/32	6/32	N/A
220218	13/32	6/32	N/A
220221	13/32	10/32	N/A
220223	18/32	10/32	N/A
220224	18/32	11/32	N/A
220225	28/32	13/32	N/A
220226	32/32	32/32	N/A
220306	32/32 WL1	32/32	N/A
220314	32/32 WL1	31/32	N/A
220316	32/32	32/32	N/A
220317	32/32	31/32	N/A
220321	32/32 WL1	32/32	N/A
220323	32/32 WL1	32/32 WL1	N/A
220328	32/32	31/32	N/A
220328	32/32	32/32	N/A
220330	32/32 WL2	32/32 WL2	N/A
220404	32/32	32/32 WL2	N/A
220405	32/32	32/32 WL1	N/A
220406	32/32 WL1	32/32	N/A
220407	32/32	32/32	N/A
220410	31/32	32/32	N/A
220417	30/32	30/32	N/A
220417	10/10 WL11	10/10 WL10	N/A
220625	28/30	30/30	25/30
