DATE	A01	A02	A03	B01	B02	B03
220204	0/35	0/35	0/35	0/35	0/35	0/35
220213	2/35	1/35	0/35	0/35	0/35	3/35
220214	4/35	1/35	0/35	2/35	0/35	4/35
220215	5/35	2/35	4/35	5/35	1/35	10/35
220216	10/35	3/35	11/35	10/35	3/35	22/35
220216	13/35	4/35	13/35	12/35	4/35	27/35
220217	13/35	4/35	12/35	12/35	3/35	27/35
220218	14/35	4/35	13/35	11/35	3/35	28/35
220221	14/35	4/35	14/35	11/35	2/35	30/35
220222	15/35	4/35	15/35	11/35	2/35	30/35
220223	16/35	4/35	20/35	13/35	5/35	34/35
220224	17/35	5/35	21/35	12/35	8/35	34/35
220225	19/35	5/35	21/35	12/35	11/35	35/35
220226	19/35	5/35	20/35	12/35	11/35	35/35
220227	19/35	5/35	21/35	12/35	11/35	34/35
220228	19/35	5/35	22/35	12/35	10/35	34/35
220301	21/35	1/0	24/35	12/35	10/35	33/35
220303	21/35	N/A	24/35	11/35	9/35	34/35
220305	21/35	N/A	24/35	11/35	9/35	33/35
220306	22/35	N/A	24/35	11/35	9/35	33/35
220308	22/35	N/A	25/35	11/35	9/35	31/35
220310	22/35	N/A	25/35	11/35	8/35	31/35
