DATE	A01	A02
220204	0/34	0/34
220212	1/34	0/34
220213	2/34	0/34
220215	2/34	2/34
220216	4/34	3/34
220216	4/34	6/34
220217	4/34	8/34
220218	10/34	8/34
220219	10/34	9/34
220221	12/34	9/34
220222	13/34	9/34
220223	18/34	10/34
220224	22/34	12/34
220225	34/34	18/34
220226	34/34 WL5	34/34 WL5
220227	34/34 WL5	34/34 WL6
220228	34/34 WL5	34/34 WL5
220301	34/34 WL4	34/34 WL4
220302	34/34 WL5	34/34 WL4
220304	34/34 WL5	34/34 WL2
220305	33/34 WL5	34/34 WL3
220306	34/34 WL4	34/34 WL3
220307	34/34 WL4	34/34 WL2
220309	34/34 WL3	34/34 WL2
220316	34/34 WL3	34/34 WL3
220317	34/34 WL4	34/34 WL3
220321	34/34 WL5	34/34 WL3
220323	34/34 WL3	34/34 WL3
220324	34/34 WL3	34/34 WL2
220328	34/34 WL3	33/34 WL3
220328	34/34 WL4	33/34 WL4
220330	32/34 WL4	32/34 WL5
220331	34/34 WL3	34/34 WL2
220404	32/34 WL1	34/34 WL1
220405	34/34 WL1	34/34 WL1
220407	33/34	34/34 WL1
220408	34/34	34/34 WL1
