DATE	A00	B00
220204	0/75	0/75
220212	0/75	1/75
220213	4/75	6/75
220214	6/75	6/75
220215	25/75	20/75
220216	30/75	19/75
220216	33/75	20/75
220217	34/75	20/75
220218	35/75	20/75
220221	39/75	21/75
220222	42/75	21/75
220223	71/75	29/75
220224	75/75 WL1	30/75
220225	75/75 WL4	35/75
220226	75/75 WL5	37/75
220227	75/75 WL5	38/75
220228	75/75 WL6	39/75
220302	75/75 WL7	39/75
220303	75/75 WL8	38/75
220304	75/75 WL7	38/75
220308	75/75 WL6	37/75
220310	75/75 WL6	38/75
220311	75/75 WL6	37/75
220312	75/75 WL6	38/75
220314	75/75 WL5	40/75
220317	74/75 WL5	41/75
220321	75/75 WL4	43/75
220324	74/75 WL5	43/75
220328	75/75 WL2	46/75
220328	74/75 WL2	49/75
220330	72/75 WL5	63/75
220331	75/75 WL1	65/75
220404	75/75	64/75
