DATE	A00	B00	C00
220204	N/A	0/0	0/0
220221	N/A	0/0 WL39	0/0 WL114
220221	N/A	0/0 WL53	0/0 WL146
220222	N/A	0/0 WL55	0/0 WL152
220223	N/A	40/0 WL21	89/0 WL71
220224	N/A	41/0 WL21	90/0 WL72
220225	N/A	42/0 WL22	90/0 WL79
220226	N/A	44/0 WL21	94/0 WL77
220227	N/A	44/0 WL21	94/0 WL80
220228	N/A	47/0 WL20	95/0 WL81
220301	N/A	54/0 WL18	98/0 WL80
220302	N/A	56/0 WL18	102/0 WL79
220303	N/A	56/0 WL19	102/0 WL81
220304	N/A	56/0 WL20	102/0 WL86
220305	N/A	57/0 WL20	102/0 WL85
220306	N/A	58/0 WL19	103/0 WL82
220307	N/A	58/0 WL20	104/0 WL81
220308	N/A	59/0 WL20	104/0 WL82
220309	N/A	59/0 WL19	104/0 WL86
220310	N/A	59/0 WL21	104/0 WL83
220311	N/A	59/0 WL22	104/0 WL83
220312	N/A	58/0 WL22	104/0 WL83
220314	N/A	58/0 WL21	104/0 WL84
220316	N/A	61/0 WL20	105/0 WL85
220317	N/A	61/0 WL20	105/0 WL84
220321	N/A	69/70 WL13	105/105 WL84
220323	N/A	70/70 WL13	105/105 WL87
220324	N/A	70/70 WL14	105/105 WL86
220328	N/A	70/70 WL13	105/105 WL88
220328	N/A	69/70 WL14	105/105 WL88
220330	N/A	66/70 WL19	104/105 WL91
220331	N/A	70/70 WL10	105/105 WL86
220404	N/A	69/70 WL3	150/105 WL41
220405	N/A	66/70 WL2	158/0 WL30
220406	N/A	65/70	159/0 WL25
220407	N/A	62/70	159/0 WL19
220408	N/A	56/70	159/0 WL11
220410	N/A	55/70	158/0 WL9
220417	N/A	54/70	157/160 WL9
220823	34/60	N/A	N/A
